N° MC,N° fusi eff.,N° levate ord,N° levate att.,codarticolo,descrizione,anima,spandex,copertura,peso spola int,ciclo,"data ora
partenza","data ora
fine",infilaggio,N° scheda,note
1,,10,9,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",Lycra 22 16AL,"0,3700",8f5 riciclato 60% parallelo  PA 66 minispole,250,2x 17 gg + 20 h (855),,,da fermo,24/81405-M8,cambiare relax
2,,20,15,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,"0,3500",13f10 parallelo PA 66 mispole,310,2 x 14 gg + 23 h (718),04-11 09:00,19-11 07:00,da fermo,24/75605-M4+M6,
3,,19,14,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,"0,3500",13f10 parallelo PA 66 mispole,310,2 x 14 gg + 23 h (718),12-11 09:15,27-11 11:15,f.elast/movimento,,"CINGHIA  NUOVA (partita il 26-9)

"
4,,19,14,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,"0,3500",13f10 parallelo PA 66 mispole,310,2 x 14 gg + 23 h (718),29-10 09:30,13-11 07:30,f.elast/movimento,23/56207-M4+M6,7 FUSI IN PROVA MICHELE (partiti il 11-07-24) + CINGHIA  NUOVA (partita il 11-9)
5,,13,8,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,"0,3500",13f10 parallelo PA 66 mispole,310,2 x 14 gg + 23 h (718),31-10 13:00,15-11 11:00,f.elast/movimento,23/65207-F3,"CINGHIA  NUOVA (partita il 13-9)

"
6,,16,12,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",CREORA 310 H350,"7,900",22f7 test. S PA66,325,1 x 5 gg + 20 h (140) /2,,,f.elast/movimento,,
7,,10,8,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",Lycra 22 16AL,"0,3700",8f5 riciclato 60% parallelo  PA 66 minispole,250,2x 17 gg + 20 h (855),31-10 11:45,18-11 06:45,f.elast/movimento,24/81304-M8,cambiare relax
8,,7,2,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,"0,3500",13f10 parallelo PA 66 mispole,310,2 x 14 gg + 23 h (718),02-11 08:45,17-11 06:45,f.elast/movimento,24/66703-M4+M6,
9,,C,1,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,"0,3500",13f10 parallelo PA 66 mispole,310,2 x 14 gg + 23 h (718),09-11 07:45,24-11 05:45,da fermo,24/51702-M4+M6,
10,,C,10,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,"0,3600",8f5 parallelo PA 66 minispole,270,2 x 24 gg + 16 h (1183),02-11 09:00,27-11 01:00,f.elast/movimento,24/68304-M6+O7,
11,,C,9,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,"0,3600",8f5 parallelo PA 66 minispole,270,2 x 24 gg + 16 h (1183),08-11 08:30,03-12 12:30,da fermo,24/52102-M6+O7,
12,,C,6,2271DN 20000 mini,"K22/8f5 dc tpm 3000 st. 2,8 CI",Mobilon 22 K,"0,3500",8f5 parallelo PA 66 minispole,,2 x 25 gg + 21 h (1242),05-11 11:15,01-12 04:15,f.elast/movimento,24/71604-M8,TEMPO 621H
13,,23,9,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1",Lycra 33 962L,"0,6400",13f7 poy PA66,266,3 x 10 gg + 18 h (775),08-11 11:00,19-11 04:00,f.elast/movimento,24/77803-MS1,"NO NODI SOST TUB ALLA ROTTURA
"
14,,16,1,X23-13097V11ZF,"Ro 130/33f20 par Z tpm 900 st. 4,3 (ED)",Roica 130 HS-C701,"3,6700",33f20 parallelo PA 66,289,2 x 3 gg + 0 h  (144),,,da fermo,24/49702-F1,quando ferma il 10-11 aspettare ok cliente prima di ripartire.                                      ATTENZIONE LA 15° e 16° LEVATA CARICARE SOLO 224 POSIZIONI      
15,,C,27,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,"0,5400",11f5 miracosmo PA 6,300,2 x 16gg + 20 h (806),30-10 11:30,16-11 03:30,da fermo,23/69004-C9,
16,,,0,,,,,,,,,,N° cicli mancante,,X23-4493s+z
17,,16,11,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",Creora 78 H350,"1,1700",22f7 test. S PA66,357,2 x 9 gg + 23 h (477),04-11 08:30,14-11 03:30,da fermo,24/46101-C5,TEMPO 239H
18,,,1,,,,,,,,,,N° cicli mancante,,4412zn la mc è in s+z
19,,21,18,X23-13097V8ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)",Creora 130 C810,"2,9800",33f20 parallelo PA 66,365,3 x 4 gg + 16 h  (335),12-11 11:00,17-11 02:00,f.elast/movimento,,TEMPO 112H                               prova con relax 55%
20,,9,7,X23-13097V8ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)",Creora 130 C810,"2,9800",33f20 parallelo PA 66,365,3 x 4 gg + 16 h  (335),11-11 14:00,16-11 04:00,da fermo,,TEMPO 112H                             prova con relax 55%
21,128,2,1,X23-13097V14ZF,"Cr 130/33f20 par Z tpm 900 st. 4,3 (ED)",Creora 130 C810,"2,8200",Pa 6.6 33f20 parallelo,,3 x 4 gg + 22 h  (354),08-11 14:45,13-11 11:45,da fermo,24/57705CS2,"
"
22,,12,6,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",Lycra 44 162C,"1,4600",33f34 test. S+Z  PA 66 sand 366,320,3 x 4 gg + 22 h  (353),12-11 11:00,17-11 08:00,f.elast/movimento,,
23,,10,6,31003DN220274 dm84,"Ly310/78f68 dc tpm 1200 st. 3,8",Lycra 310 162C,"5,700",78f68 test. S  PA 66 grigio scuro,315,4 x 1 gg + 23 h (190),12-11 08:00,16-11 05:00,f.elast/movimento,,
24,128,2,1,4424ZN/F,"Ly44/44f34 Z tpm 1000 st. 3,8 (DI)",Lycra 44 162C,"0,9200",44f34 test. S PA 66,725,3 x 7 gg + 20 h (563),07-11 09:00,15-11 05:00,da fermo,24/62404-F3,la mc è in s+z
25,,15,0,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7",Lycra 44 162C,"0,800",22f20 parallelo PA 66,351,3 x 8 gg + 23 h  (644),,,f.elast/movimento,,
26,,C,21,2270S+ZN mini 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,"0,5400",11f5 miracosmo PA 6 minispole,300,2 x 16gg + 20 h (806),03-11 12:45,20-11 07:45,da fermo,24/76003-M8,
27,,C,5,2270S+ZN mini 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,"0,5400",11f5 miracosmo PA 6 minispole,300,2 x 16gg + 20 h (806),08-11 12:30,25-11 08:30,da fermo,24/90804-M8,
28,,C,4,2270S+ZN mini 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,"0,5400",11f5 miracosmo PA 6 minispole,300,2 x 16gg + 20 h (806),28-10 09:45,14-11 05:45,f.elast/movimento,24/47201-F3,
29,,9,7,13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",Lycra 130 903C,"2,9400",33f20 test. S PA 66,380,3 x 4 gg + 19 h (346),11-11 10:30,16-11 04:30,da fermo,24/95110-MS1,TEMPO 115H 
30,,15,12,X23-13097V8ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)",Creora 130 C810,"2,9800",33f20 parallelo PA 66,365,3 x 4 gg + 16 h  (335),09-11 07:30,13-11 18:30,f.elast/movimento,24/83307-F1,TEMPO 107                           prova con relax 55% rpm 13600 CICLO 4GG + 11H  
31,172,2,2,X24-13003V2ZF1,"Ly 130-22f7x2 Z tpm 900 st. 3,5",Lycra 130 903C 8 bave,"3,7400",PA 6.6 22f7x2 text,336,4 x 2 gg + 22 h  (281),,,da fermo,24/45602-F3,
32,,1,1,X23-13097V8ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)",Creora 130 C810,"2,9800",33f20 parallelo PA 66,365,3 x 4 gg + 16 h  (335),,,da fermo,24/64907-F1,TEMPO 112H                       prova con relax 55% PROVA RPM 15500 CICLO 3GG + 22H
33,,,0,,,,,,,,,,N° cicli mancante,,x21-2099s+z mini
34,,2,2,ManilaS+ZN1,"K22/11f5 S+Z tpm 2500 st. 2,6 (CG)",Mobilon 22 K,"0,3900",11f5 miracosmo PA 6,270,2 x 22 gg + 21 h (1097),07-11 13:30,30-11 15:30,f.elast/movimento,24/59403-F3,
35,,15,13,2275S+ZN-B10A 11400,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,"0,7700",44f34 test. S+Z PA 6 pink B10A,785,5 x 5 gg + 22 h (710),12-11 13:30,18-11 12:30,da fermo,,
36,,6,6,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",Lycra 20 188C,"0,3100",8f5 parallelo PA 66 minispole,178,2 x 17 gg + 21 h (431),28-10 13:15,15-11 12:15,f.elast/movimento,24/93007-O7+M6,"spole rimangono grosse, fermare la mc il giorno indicato"
37,,10,2,S19-60052DN-R3,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)",Muriel 600 1/100,"6,8100",Ker/Vfr/arm 70/1 Nm beige,,1 x 1 gg + 22 h (47) /2 cambio spole,,,Caso non gestito,24/45701-F2,
38,,,1,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)",Roica 470 HS-C701,"8,4200",33f34 test. S+Z  PA 66 sand 366,220,2 X 2 gg + 12 h (119),12-11 13:15,15-11 00:15,da fermo,,
39,,31,21,X23-4489DN,"roica 44/44f13x2/56f34x2 dc tpm 500 st. 2,8 (CI)",Roica 44 C805,"2,0800",44f13x2 test./56f34x2 PA 66,625,5 x 2 gg + 0 h  (240),11-11 08:15,13-11 07:15,da fermo,24/62206-F2,
40,,,0,,,,,,,,,,N° cicli mancante,,39502dn
41,,72,65,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",Lycra 330 902C,"5,0800",22f10 test. S nero PA 66,215,2  x 3 gg + 21 h (186),12-11 08:00,16-11 04:00,da fermo,,
42,,8,5,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",Lycra 330 902C,"5,0800",22f10 test. S nero PA 66,215,2  x 3 gg + 21 h (186),09-11 12:30,13-11 08:30,da fermo,24/54104-F1,
43,,C,21,13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",Lycra 130 903C,"2,9400",33f20 test. S PA 66,380,3 x 4 gg + 19 h (346),09-11 10:00,14-11 04:00,f.elast/movimento,24/47702-F3,TEMPO 115H 
44,,4,2,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)",Lycra 78 162C,"1,6100",44f34 test. S PA 66,690,2 x 6 gg +20 h (329),06-11 14:00,13-11 10:00,f.elast/movimento,24/55302-F2+F3,
45,,14,1,2279ZN1 11000,Cr22/78f68 Z tpm 600 st- 3.2 (DC),Creora 22 H350,"0,6700",78f68 S PA 6,755,9 x 3 gg + 18 h (812),09-11 13:15,13-11 05:15,da fermo,24/50703-F2,lotto sp. vecchio                         ALTERNARE ART 2279ZNB10A ord.260 levate 14 partite 11 e 2279ZN1 ord.300 levate 4 partite 2
46,,,0,,,,,,,,,,N° cicli mancante,,X24-2213zn spoloni
47,,C,5,2271DN 20000 mini,"K22/8f5 dc tpm 3000 st. 2,8 CI",Mobilon 22 K,"0,3500",8f5 parallelo PA 66 minispole,,2 x 25 gg + 21 h (1242),23-10 13:15,17-11 23:15,da fermo,24/55702-O7,TEMPO 621H                             
48,,C,23,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,"0,3600",8f5 parallelo PA 66 minispole,270,2 x 24 gg + 16 h (1183),25-10 10:15,19-11 02:15,da fermo,24/69904-O7+M6,mettere mobilon k22 usato va 1ciclo
49,,,,,,,,,,,,,N° levata mancante,,749dn
50,,8,6,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",Lycra 20 188C,"0,3100",8f5 parallelo PA 66 minispole,178,2 x 17 gg + 21 h (431),12-11 10:00,30-11 09:00,f.elast/movimento,24/52101-M8,"spole rimangono grosse, fermare la mc il giorno indicato"
51,,,0,,,,,,,,,,N° cicli mancante,,X22-2203s+z CREORA 22 LOTTO SPANDEX VECCHIO
52,,4,1,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)",Lycra 44 162C,"0,9200",44f34 test. S+Z PA 66,725,3 x 7 gg + 20 h (563),08-11 09:00,16-11 05:00,da fermo,,
53,,14,10,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",Creora 22 H350A,"0,7800",44f30 test. S+Z  PA 6,777,5 x 5 gg + 18 h (692),12-11 08:15,18-11 03:15,f.elast/movimento,24/47002-F2,
54,,,1,,,,,,,,,,N° cicli mancante,,2013s+z mini   
55,,4,3,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)",Lycra 13 16LL,"0,2200",11f8 miracosmo recy. 83% PA 6 minispole,305,4 x 19 gg + 20 h (1905),07-11 09:00,27-11 06:00,da fermo,24/87404-F3,
56,,5,3,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)",Lycra 13 16LL,"0,2200",11f8 miracosmo recy. 83% PA 6 minispole,305,4 x 19 gg + 20 h (1905),28-10 14:45,17-11 04:45,da fermo,24/87905-F1,
57,,,1,,,,,,,,,,N° cicli mancante,,4465sn
58,,10,8,2275S+ZN-B10A 11400,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,"0,7700",44f34 test. S+Z PA 6 pink B10A,785,5 x 5 gg + 22 h (710),11-11 08:45,17-11 06:45,da fermo,24/71111-F2,
59,,,1,,,,,,,,,,N° cicli mancante,,x24-7802s+z
60,,6,5,X23-2279ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",Roica 22 B835,"1,0700",78f24 S renycle 100% PA 6,650,8 x 1 gg + 23 h (374),,,da fermo,24/48603-F3,4°5°6° LEVATA SCARICARE SUL CARRELLO
61,414,6,3,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",Lycra 44 162C,"0,8400",13f7 poy PA66,350,2 x 12 gg + 18 h  (612),08-11 10:00,21-11 04:00,da fermo,24/73303-MS1+CS2,
62,,C,1,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,"0,3600",8f5 parallelo PA 66 minispole,270,2 x 24 gg + 16 h (1183),21-10 10:00,15-11 10:00,da fermo,24/69903-O7+M6,
63,,C,1,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,"0,3600",8f5 parallelo PA 66 minispole,270,2 x 24 gg + 16 h (1183),28-10 10:00,22-11 10:00,da fermo,24/52202-M6+O7,
64,,2,1,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",Lycra 22 16AL,"0,3700",8f5 riciclato 60% parallelo  PA 66 minispole,250,2x 17 gg + 20 h (855),06-11 10:00,24-11 06:00,da fermo,24/72705-M8(LV)+24/46401-F3(LN),2 LOTTI NYLON                  cambiare relax
65,,2,1,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",Lycra 20 188C,"0,3100",8f5 parallelo PA 66 minispole,178,2 x 17 gg + 21 h (431),04-11 10:00,22-11 09:00,da fermo,24/65104-M8,"spole rimangono grosse, fermare la mc il giorno indicato"
66,,8,6,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",Lycra 20 188C,"0,3100",8f5 parallelo PA 66 minispole,178,2 x 17 gg + 21 h (431),11-11 13:45,29-11 13:45,f.elast/movimento,24/55402-M8,"spole rimangono grosse, fermare la mc il giorno indicato"
67,,5,5,7035DN1,"Ly 78/13f5 dc tpm 2100 stiro 3,2 (DC)",Lycra 78 162C,"1,3200",13f5 parallelo PA 66,355,1 x 16 gg + 18 h (402) /2,04-11 14:45,12-11 23:45,Caso non gestito,24/58102-F3,
68,,2,1,X23-7892V2DN mini,"Ly 78/13f7 dc tpm 1750 st. 3,8 (DI)",Lycra 78 162C,"1,3900",PA 6.6 13f7 parallelo infinyl 60%,187,2 x 7 gg + 23 h  (381),08-11 11:30,16-11 10:30,da fermo,24/45901-F3,
69,,3,2,X24-80001V2DN,Cr 800-7008-110f34 dc tpm 600 st. 4,Creora 800 Dtex C810,"17,6200",art. 7008ZN,132,3 x 0 gg + 20 h (59),,,da fermo,,RPM 8700 EFFETTIVA 
70,,6,3,1724S+ZN 2cicli,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)",Mobilon 17 K,"0,3700",10f2 kafilarta PA 6,285,2 x 19 gg + 14 h (941),28-10 11:15,17-11 01:15,da fermo,24/47101-F3,
71,,18,4,X23-7899V2ZN,Cr 78-44f34 Z tpm 600 st. 3.2 (DC),Creora 78 H350A tingibile,"2,9700","PA 66, dtex 44f34 test S riciclato 100%",600,2 x 3 gg + 21 h  (185),,,f.elast/movimento,,
72,,11,9,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",Creora 22 H350A,"0,7800",44f30 test. S+Z  PA 6,777,5 x 5 gg + 18 h (692),11-11 14:30,17-11 08:30,da fermo,24/51003-F2,
C1,,,,,,,,,,,,,N° levata mancante,,
C2,,,,,,,,,,,,,N° levata mancante,,"
"
C3,16,2,1,X23-31095ZN,Cr 310 H300 - 44f12 tpm 600 st. 3,Creora 310 H300,"16,1600",PA 6.6 44f12,501,1 x 2 gg + 20 h  (68),12-11 10:00,15-11 06:00,f.elast/movimento,,
C4,,,,,,,,,,,,,N° levata mancante,,
C5,,,,,,,,,,,,,N° levata mancante,,848dn