Cliente,n. ordine interno,codarticolo,descrizione,quantit√†,data di consegna,Mc No.,data fermata prevista,data inserimento produzione,n. levate,nr fusi effettivi,fine produzione,kg prodotti,evaso
FEIN ELAST GRABHER,277,10985ZF,"Ly44/78f68 Z tpm 1000 st. 3,3 (DD)","800,0",,C3,,14/09/2023,2,,24/09/2023,"60,4750",Vero
,,,,,,13,,12/09/2023,3,,27/09/2023,"725,700",
GUSTAV GERSTER,278,S22-120027DN2,"Mu 1200/167f36 dc tpm 600 st. 4,5 (EF)","12,0",,,,,,,,,Vero
GUSTAV GERSTER,279,S22-120027V2DN2,"Mu 1200/167f36 dc tpm 800 st. 4,5 (EF)","5,0",,,,,,,,,Vero
DIAMANT,281,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","90,0",,39,09/10/2024,24/09/2023,1,,26/09/2023,"245,5200",Vero
DIAMANT,282,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","3,0",,C2,,15/09/2023,1,,15/09/2023,"13,6338",Vero
FALKE,283,X22-2005V2ZN vari co,"Ly 20/22f7x2 Z tpm 900 st. 2,9 (CL)","120,0",,52,01/10/2024,26/09/2023,1,,29/09/2023,"106,7344",Vero
CALZIFICIO BELLAFONTE,284,X23-2288S+ZN 8 giorn,"K22/22f10 innergy S+Z tpm 1400 st. 2,75 (CHF)","200,0",,19,09/10/2024,28/08/2023,2,,13/09/2023,"250,800",Vero
FISHER & PAYKEL,280,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","200,0",,,,,,,,,Vero
FALKE,285,ManilaZN1,"K22/11f5 Z tpm 2500 st. 2,6 (CG)","120,0",,19,09/10/2024,14/09/2023,1,,07/10/2023,"126,1550",Vero
GI TESSIL FODERAMI,286,2254ZN,"Cr22/44f34 Z tpm 600 st. 3,2 (DC)","1.400,0",,57,,02/09/2023,6,,07/10/2023,"1.479,3075",Vero
,,,,,,58,05/12/2024,29/08/2023,7,,09/10/2023,"1.725,8588",
SCORTA,287,2218ZN,"Ly22/22f7 Z  tpm 1000 st. 3,8 (DI)","380,0",,18,06/10/2024,04/09/2023,4,,24/09/2023,"413,2500",Vero
SCORTA,288,S18-160040DN,"Mu1600/62f18 solvron dc tpm 700 st. 3,6 (DG)","9,0",,,,,,,,,Vero
DIAMANT,289,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","66,0",,39,09/10/2024,01/10/2023,1,,03/10/2023,"245,5200",Vero
FISHER & PAYKEL,290,X21-39599V7DN0333,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Grey","200,0",,41,19/11/2024,18/10/2023,1,,19/10/2023,"215,2296",Vero
SANYLEG,291,7035DN1,"Ly 78/13f5 dc tpm 2100 stiro 3,2 (DC)","300,0",,69,18/10/2024,28/10/2023,2,,30/11/2023,"323,3588",Vero
SCORTA,292,4439ZN,"Cr44/44f13 Z tpm 650 st. 3,6 (DG)","280,0",,56,26/12/2024,11/09/2023,5,,26/09/2023,"722,2875",Vero
SCORTA,293,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)","500,0",,18,06/10/2024,31/08/2023,4,,28/09/2023,"980,4200",Vero
MANIFATTURA ITALIA CUCIRINI,294,4428ZN/F,"Cr44/44f13 Z tpm 1000 st. 3,6 (DG)","300,0",,,,,,,,,Vero
DIAMANT,295,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","115,0",,39,09/10/2024,09/10/2023,1,,11/10/2023,"245,5200",Vero
DIAMANT,296,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","4,0",,C2,,05/10/2023,1,,05/10/2023,"13,6338",Vero
DIAMANT,297,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","3,0",,C2,,28/09/2023,1,,30/09/2023,"30,6900",Vero
SANYLEG,299,15613DN1,"Ly 156/13f5 dc tpm 2000 stiro 3,7 (DH)","230,0",,67,11/11/2024,03/10/2023,1,,21/10/2023,"234,4753",Vero
SANYLEG,300,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)","1.200,0",02/10/2023,35,18/10/2024,12/10/2023,4,,20/11/2023,"666,4628",Vero
,,,,,,25,15/10/2024,29/10/2023,4,,07/12/2023,"666,4628",
DIAMANT,298,39502DN2,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","10,0",,,,,,,,,Vero
SCORTA,301,2246ZN 13500,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)","600,0",,55,27/09/2024,21/09/2023,3,,30/09/2023,"677,6550",Vero
SANYLEG,302,62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8","660,0",,42,,08/09/2023,4,,16/09/2023,"662,400",Vero
SCORTA,303,1726S+ZN,"Ly17/40f40 S+Z tpm 600 st. 3,2 (DC)","450,0",,54,,20/09/2023,2,,04/10/2023,"515,300",Vero
SCORTA,304,4424ZN,"Ly44/44f34 Z tpm 1000 st. 3,8 (DI)","600,0",,71,06/11/2024,26/09/2023,3,,20/10/2023,"709,5825",Vero
SCORTA,207,4459DN 20700,"K44/8f5 dc tpm 2000 st. 2,9 (CL)","870,0",,68,,22/07/2023,6,,26/11/2023,"873,1800",Vero
MARYGOLD,203,2223DN,"Cr22/8f5 dc tpm 2000 st. 3,2 (DC)","35,0",20/11/2023,,,,,,,,Vero
MARYGOLD,203,2223DN,"Cr22/8f5 dc tpm 2000 st. 3,2 (DC)","30,0",,,,,,,,,Vero
DIAMANT,306,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","2,0",,C2,,28/09/2023,1,,30/09/2023,"30,6900",Vero
DIAMANT,307,94003DN-Q7175,"Cr940/167f48 pink foam tpm 800 dc st.  3,3 (DD)","2,0",,C2,,27/09/2023,1,,27/09/2023,"13,6338",Vero
CALZIFICIO TREVER,305,4464S+ZN,"K44/13f10 S+Z tpm 1800 st. 2,8 (CI)","390,0",,53,05/12/2024,08/09/2023,4,,18/10/2023,"533,4863",Vero
FALKE,308,X20-2219ZF1,"K22/11f7 recy 50 S+Z  tpm 1900 st. 2,8 (CI)","40,0",,51,25/11/2024,20/09/2023,1,,07/10/2023,"133,6500",Vero
FRITSCHE,309,S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)","1.500,0",,38,,16/09/2023,12,,29/09/2023,"756,2400",Vero
W.ZIMMERMANN,310,X18-4406V2SN,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)","617,80",,72,21/11/2024,02/10/2023,4,,06/11/2023,"637,3125",Vero
DIAMANT,311,39502DN-colori vari,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","6,0",,C1,,02/10/2023,1,,03/10/2023,"19,3903",Vero
CALZIFICIO GENNY,312,2261S+ZN,"Cr22/78f68 SZ tpm 600 st. 3,2 (DC)","140,0",,55,27/09/2024,16/09/2023,1,,19/09/2023,"229,5701",Vero
CALZIFICIO GENNY,313,X17-7895S+ZN,"Ly78/44F34 SZ tpm 900 st. 4,2 (EC)","170,0",,20,,16/09/2023,1,,23/09/2023,"245,1050",Vero
CALZIFICIO GENNY,314,X23-7892DN mini,"Ly 78/13f7 dc tpm 1750 st. 3,8 (DI)","300,0",,65,16/10/2024,16/09/2023,2,,04/10/2023,"318,2550",Vero
FEIN ELAST GRABHER,315,X22-1703DN,"K 17/8f5 dc tpm 3000 st. 2,8 (CI)	Mobilon 17 tipo K	0,273	8f5 parallelo	290	2 x 27 gg (1299)	1	N				","100,0",,69,18/10/2024,29/09/2023,1,,26/10/2023,"100,3922",Vero
PIEFFE SPORT,316,S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)","49,0",,,,,,,,,Vero
SANYLEG,317,X23-6198ZN cr.295 gr,Cr 61/44f13 Z tpm 900 st. 4 (EA),"300,0",,56,26/12/2024,27/09/2023,2,,04/10/2023,"304,0538",Vero
DIAMANT,318,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","210,0",,39,09/10/2024,28/10/2023,1,,30/10/2023,"245,5200",Vero
DIAMANT,319,94003DN-Q7175,"Cr940/167f48 pink foam tpm 800 dc st.  3,3 (DD)","5,0",,C2,,30/10/2023,1,,30/10/2023,"13,6338",Vero
DIAMANT,320,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","60,0",,39,09/10/2024,28/10/2023,1,,30/10/2023,"245,5200",Vero
DIAMANT,321,94003DN-Q7299,"Cr940/167f48 citron tint tpm 800 dc st.  3,3 (DD)","2,0",,C2,,30/10/2023,1,,30/10/2023,"13,6338",Vero
CALZIFICIO GENNY,322,X22-2203S+ZN,Cr22/78f68 ecocare S+Z tpm 600 st- 3.2 (DC),"440,0",,70,05/12/2024,25/09/2023,2,,01/10/2023,"439,6219",Vero
MANIFATTURA ITALIA CUCIRINI,323,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)","360,0",,56,26/12/2024,03/10/2023,2,,07/10/2023,"370,3013",Vero
SANYLEG,324,X22-4408V2DF/SAND,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)","240,0",,36,15/11/2024,20/10/2023,3,,30/10/2023,"206,6700",Vero
SANYLEG,325,X22-47001DN/SAND,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)","210,0",,40,10/10/2024,20/10/2023,1,,25/10/2023,"238,00",Vero
FGP,326,31004DN220379,"Cr310/78f68  dc tpm 1200 st. 2,7  (CH)","750,0",,40,10/10/2024,09/11/2023,3,,21/11/2023,"747,9600",Vero
FGP,328,X22-31002V7DN1018,"Cr310/78f68  dc tpm 1200 st. 2,7  (CH)","1,0",,C1,,26/09/2023,1,,30/09/2023,"23,3738",Vero
CALZIFICIO NUOVO GIODI,303,1726S+ZN,"Ly17/40f40 S+Z tpm 600 st. 3,2 (DC)","400,0",,,,,,,,,Vero
UTEXBEL,330,S19-60052DN,"Mu600/70/1 Ker/Vfr/arm DC tpm 1100 st. 4,4 (EE)","190,0",,37,01/10/2024,09/10/2023,2,,13/10/2023,"250,2400",Vero
NASTRIFICIO VICTOR,331,94001DN2,"Cr940/167f36 nero tpm 800 dc st.  3,3 (DD)","600,0",,23,,11/10/2023,6,,15/10/2023,"646,6200",Vero
ALLERGO SYSTEM,332,4462ZN2,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)","48,0",,C3,,02/10/2023,2,,08/10/2023,"35,0975",Vero
SCORTA,333,4439ZN,"Cr44/44f13 Z tpm 650 st. 3,6 (DG)","700,0",,46,,04/10/2023,5,,19/10/2023,"700,400",Vero
SANYLEG,334,62001DN1,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)","230,0",,40,10/10/2024,10/10/2023,2,,17/10/2023,"476,9600",Vero
SCORTA,336,7035DN1,"Ly 78/13f5 dc tpm 2100 stiro 3,2 (DC)","300,0",,69,18/10/2024,28/10/2023,2,,30/11/2023,"323,3588",Vero
MARYGOLD,337,39501DN,"Ly395/44f34 dc tpm 1000 st. 4,8 (EI)","85,0",,40,10/10/2024,02/10/2023,1,,06/10/2023,"277,0200",Vero
AMBROFIBRE,335,X23-2282S+ZN,"s22/22f7 S + Z tmp 1550 st. 3,2 GRS (DC)","1.150,0",,55,27/09/2024,05/10/2023,1,,13/10/2023,"117,5625",Vero
,,,,,,57,,03/10/2023,1,,11/10/2023,"117,5625",
GIZETA,338,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)","1.000,0",,18,06/10/2024,02/10/2023,4,,30/10/2023,"980,4200",Vero
SANYLEG,339,X17-4495ZN,"Cr44/22f7 Z tpm 1500 st. 3,6 (DG)","500,0",,44,11/10/2024,03/10/2023,4,,08/11/2023,"573,5200",Vero
DIAMANT,340,23504DN-5000,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","2,0",,C2,,16/10/2023,1,,18/10/2023,"30,6900",Vero
MARYGOLD,203,2223DN,"Cr22/8f5 dc tpm 2000 st. 3,2 (DC)","30,0",,,,,,,,,Vero
DIAMANT,276,23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","430,0",,,,,,,,,Vero
TRERE' INNOVATION,341,20098DN-VARI COL,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)","70,0",,38,,10/10/2023,1,,12/10/2023,"78,6600",Vero
SANYLEG,342,X22-4408V2DF,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)","50,0",,14,,07/10/2023,1,,10/10/2023,"68,8900",Vero
SCORTA,343,4412SN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)","130,0",,17,31/12/2024,05/10/2023,1,,18/10/2023,"147,600",Vero
SANYLEG,344,X22-4408V2DF/SAND,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)","70,0",,36,15/11/2024,12/10/2023,1,,15/10/2023,"68,8900",Vero
SANYLEG,345,X22-47001DN/SAND,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)","70,0",,40,10/10/2024,08/10/2023,1,,13/10/2023,"238,00",Vero
MANIFATTURA ITALIA CUCIRINI,346,4428ZN/F,"Cr44/44f13 Z tpm 1000 st. 3,6 (DG)","300,0",,46,,13/10/2023,3,,25/10/2023,"424,0800",Vero
DIAMANT,347,X22-39503DN490,"Ly395/167f36 dc tpm 800 st. 4,15 (EBF)","5,0",,C2,,14/10/2023,1,,15/10/2023,"25,8538",Vero
AMBROFIBRE,348,X23-2280S+ZN,"s22/22f7 S + Z tmp 1550 st. 3,2 GRS (DC)","1.450,0",,55,27/09/2024,14/10/2023,4,,11/11/2023,"408,3750",Vero
,,,,,,57,,16/10/2023,9,,18/12/2023,"918,8438",
DIAMANT,349,94003DN-Q7175,"Cr940/167f48 pink foam tpm 800 dc st.  3,3 (DD)","3,0",,C2,,17/11/2023,1,8,17/11/2023,"3,4084",Vero
DIAMANT,350,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","60,0",,39,09/10/2024,18/11/2023,1,60,20/11/2023,"57,5438",Vero
DIAMANT,351,23504DN-5000,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","15,0",,39,09/10/2024,18/11/2023,1,20,20/11/2023,"19,1813",Vero
FISHER & PAYKEL,117,S19-60064V3DN,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)","90,0",,,,,,,,,Vero
CALZIFICIO CREMONA,352,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","120,0",,51,25/11/2024,18/10/2023,1,,20/10/2023,"117,5625",Vero
SCORTA,346,4428ZN/F,"Cr44/44f13 Z tpm 1000 st. 3,6 (DG)","150,0",,59,05/10/2024,10/10/2023,3,,22/10/2023,"437,3325",Vero
SCORTA,354,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)","460,0",,41,19/11/2024,16/10/2023,4,,01/11/2023,"465,00",Vero
CALZIFICIO CREMONA,355,2265SN2,"Cr22/50f34 S tpm 1000 st. 3,2 (DC)","10,0",,C2,,25/10/2023,1,,30/10/2023,"19,7838",Vero
DIAMANT,356,39502DN-colori vari,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","24,0",,C2,,07/11/2023,1,,08/11/2023,"25,8538",Vero
FALKE,357,X22-2005V2ZN1,"Ly 20/22f7x2 Z tpm 900 st. 2,9 (CL)","27,0",,68,,24/11/2023,1,74,27/11/2023,"29,9180",Vero
CALZIFICIO CREMONA,358,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","120,0",,52,01/10/2024,20/10/2023,1,,22/10/2023,"117,5625",Vero
SCORTA,359,1726S+ZN,"Ly17/40f40 S+Z tpm 600 st. 3,2 (DC)","50,0",,54,,23/10/2023,1,,30/10/2023,"257,6500",Vero
LANIFICIO CAVERNI SRL,360,2236ZN,"Cr22/44f34 Z tpm 900 st. 3,2 (DC)","389,90",,,,,,,,,Vero
T.A.T SRL,361,S16-60015V2DN2,"Mu600/100/1 aramidico DC tpm 1250 st. 4,5 (EF)","175,0",,37,01/10/2024,30/10/2023,1,,01/11/2023,"108,2400",Vero
Z TECH,362,S16-60017V2DN-A2,"Mu600/60/1 aramid mista DC tpm 700 st. 4,5 (EF)","43,0",,,,,,,,,Vero
SCORTA,363,1724S+ZN 2cicli,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)","460,0",,71,06/11/2024,25/10/2023,4,,12/01/2024,"485,0588",Vero
SCORTA,364,2013S+ZN,"Ly 20/13f10 S+Z  tpm 1400 st. 2,9 (CL)","200,0",,60,,03/11/2023,2,,22/11/2023,"208,4156",Vero
TESS. PARISOTTO - TEXSARP,366,X22-4404ZN,"Cr44/78f24x2 Z tpm 600 st. 3,4 (DE)","30,0",,,,,,,,,Vero
CALZIFICIO BELLAFONTE,367,X23-2288S+ZN 8 giorn,"K22/22f10 innergy S+Z tpm 1400 st. 2,75 (CHF)","100,0",,52,01/10/2024,31/10/2023,1,,08/11/2023,"129,3188",Vero
DIAMANT,368,23504DN-5000,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","105,0",,39,09/10/2024,05/12/2023,1,110,07/12/2023,"105,4969",Vero
FGP,365,X23-31094DN3813,"Ly310/78f68 dc tpm 1500 st. 3,8","30,0",,,,,,,,,Vero
DIAMANT,369,94003DN-5000,"Cr940/167f48 nero tpm 800 dc st.  3,3 (DD)","3,0",,C2,,06/12/2023,1,8,06/12/2023,"3,4084",Vero
DIAMANT,370,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","380,0",,39,09/10/2024,05/12/2023,2,200,09/12/2023,"383,6250",Vero
DIAMANT,371,94003DN-Q7175,"Cr940/167f48 pink foam tpm 800 dc st.  3,3 (DD)","10,0",,C2,,07/12/2023,1,24,07/12/2023,"10,2253",Vero
SANYLEG,372,X21-20099DN1,"Ly 200/22f7 dc tpm 1500 st. 4,6 (EG)","530,0",,38,,31/10/2023,4,,23/11/2023,"550,4400",Vero
SANYLEG,373,62001DN1,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)","690,0",,42,,30/10/2023,6,,22/11/2023,"1.430,8800",Vero
SANYLEG,374,62002DN,"Cr620/78f24 dc tpm 800 st. 4,8","660,0",,41,19/11/2024,06/11/2023,4,256,14/11/2023,"662,400",Vero
TESSITURA TAIANA VIRGILIO SPA,375,S17-60040DN,"Mu600+62f18/62f18 DC tpm 800 st. 1,8 (BI)","15,0",,,,,,,,,Vero
ATHENA,190,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)",,,,,,,,,,Vero
FISHER & PAYKEL,319,S19-60064V3DN,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)","90,0",,,,,,,,,Vero
SCORTA,377,S18-160040DN,"Mu1600/62f18 solvron dc tpm 700 st. 3,6 (DG)","7,0",,,,,,,,,Vero
MANIFATTURA ITALIA CUCIRINI,378,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)","175,0",,70,05/12/2024,09/11/2023,1,,11/11/2023,"185,1506",Vero
SCORTA,379,2202ZF,"Cr22/22f7 Z tpm 1100 st. 3,2 (DC)","100,0",,59,05/10/2024,07/11/2023,1,,13/11/2023,"129,4116",Vero
W.ZIMMERMANN,380,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)","322,90",,72,21/11/2024,18/11/2023,2,,06/12/2023,"304,5488",Vero
SCORTA,381,4424ZN,"Ly44/44f34 Z tpm 1000 st. 3,8 (DI)","480,0",,58,05/12/2024,08/11/2023,2,,24/11/2023,"473,0550",Vero
SCORTA,382,4428ZN/F,"Cr44/44f13 Z tpm 1000 st. 3,6 (DG)","280,0",,56,26/12/2024,11/11/2023,2,,19/11/2023,"291,5550",Vero
CALZIFICIO TREVER,383,4464S+ZN,"K44/13f10 S+Z tpm 1800 st. 2,8 (CI)","520,0",,53,05/12/2024,16/11/2023,4,,26/12/2023,"533,4863",Vero
FISHER & PAYKEL,384,X21-39599V7DN0333,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Grey","190,0",,38,,10/01/2024,1,,11/01/2024,"215,2296",Vero
FISHER & PAYKEL,385,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","190,0",,38,,12/01/2024,1,,13/01/2024,"215,2296",Vero
FISHER & PAYKEL,386,S19-60064V3DN,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)","90,0",,37,01/10/2024,20/11/2023,1,,20/11/2023,"89,300",Vero
DIAMANT,387,X22-39503DN490,"Ly395/167f36 dc tpm 800 st. 4,15 (EBF)","5,0",,C2,,24/11/2023,1,10,25/11/2023,"8,0793",Vero
DIAMANT,388,39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","55,0",,37,01/10/2024,04/12/2023,1,74,05/12/2023,"59,7868",Vero
RADICI,389,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)","2.070,0",,52,01/10/2024,22/11/2023,5,,21/12/2023,"1.156,0725",Vero
,,,,,,51,25/11/2024,23/11/2023,5,,22/12/2023,"1.156,0725",
RADICI,390,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","2.200,0",,54,,21/11/2023,5,,16/12/2023,"1.174,2844",Vero
,,,,,,55,27/09/2024,22/11/2023,5,,17/12/2023,"1.174,2844",
RADICI,391,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","660,0",,46,,24/11/2023,3,,09/12/2023,"683,2200",Vero
RADICI,392,2279ZNB10A 14000,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),"1.100,0",,70,05/12/2024,23/11/2023,5,,08/12/2023,"1.076,3156",Vero
W.ZIMMERMANN,393,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)","617,80",,56,26/12/2024,20/11/2023,2,,08/12/2023,"304,5488",Vero
,,,,,,57,,27/11/2023,2,,15/12/2023,"304,5488",
SCORTA,395,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)","660,0",,23,,24/11/2023,6,,12/12/2023,"672,00",Vero
SCORTA,396,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)","920,0",,41,19/11/2024,20/11/2023,8,,22/12/2023,"930,00",Vero
SCORTA,397,4412ZN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)","120,0",,19,09/10/2024,17/11/2023,1,,30/11/2023,"147,600",Vero
CALZIFICIO TREVER,398,13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)","1.000,0",,29,03/10/2024,18/11/2023,5,,12/12/2023,"914,2500",Vero
FALKE,400,X21-2268DN,"K 22/11f7 dc tpm 2000 st. 2,9 (CL)","120,0",,69,18/10/2024,12/01/2024,1,264,30/01/2024,"110,9883",Vero
SANYLEG,394,20099ZF,"Ly 200/33f20 Z tpm 900 st. 4,5 (EF)","210,0",,67,11/11/2024,17/11/2023,2,132,27/11/2023,"228,2569",Vero
APPLE,399,S15-60008V2DN2,"Muriel 600/83f36 nero dc 1500 st. 4,5 (EF)","100,0",,42,,28/11/2023,1,,29/11/2023,"100,1900",Vero
DIAMANT,401,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","105,0",,39,09/10/2024,21/12/2023,1,,23/12/2023,"245,5200",Vero
DIAMANT,402,94003DN-Q7175,"Cr940/167f48 pink foam tpm 800 dc st.  3,3 (DD)","3,0",,C1,,21/12/2023,1,8,21/12/2023,"3,4084",Vero
