Cliente,n. ordine interno,codarticolo,descrizione,quantit√†,data di consegna,Mc No.,data fermata prevista,data inserimento produzione,n. levate,nr fusi effettivi,fine produzione,kg prodotti,evaso
SANYLEG,404,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)","280,0",,38,,01/12/2023,2,,13/12/2023,"278,1900",Vero
SANYLEG,406,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)","500,0",,40,10/10/2024,04/12/2023,4,,14/12/2023,"480,7600",Vero
SANYLEG,407,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)","700,0",,67,11/11/2024,04/12/2023,7,,08/01/2024,"766,6313",Vero
CALZIFICIO CREMONA,408,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","86,0",,56,26/12/2024,20/12/2023,1,200,22/12/2023,"89,0625",Vero
ATHENA,190,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)","480,0",22/11/2023,,,,,,,,Vero
FALKE,352,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","40,0",01/12/2023,52,01/10/2024,18/10/2023,1,,20/10/2023,"117,5625",Vero
T & T,409,X18-2208ZN2,"Cr22/78f68 Z tpm 500 st. 3,2 (DC)","230,0",,18,06/10/2024,05/12/2023,1,248,08/12/2023,"225,2925",Vero
FUJIAN HUAFENG NEW MATERIAL,410,S21-500011DN,"Muriel 5000/62f18 dc tpm 1100 st. 2,0 (CA)","18,0",,,,,,,,,Vero
SINERGY GROUP,411,10996SN,"Cr44/22f7 S tpm 650 st. 3,5 (DF)","280,0",,59,05/10/2024,06/12/2023,2,,14/12/2023,"295,8656",Vero
T.A.T SRL,412,S16-60015V2DN2,"Mu600/100/1 aramidico DC tpm 1250 st. 4,5 (EF)","300,0",,37,01/10/2024,13/12/2023,1,,15/12/2023,"108,2400",Vero
,,,,,,38,,29/01/2024,2,,02/02/2024,"216,4800",
DIAMANT,414,23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)","60,0",,39,09/10/2024,30/01/2024,1,70,01/02/2024,"67,1344",Vero
DIAMANT,415,94003DN-Q7175,"Cr940/167f48 pink foam tpm 800 dc st.  3,3 (DD)","3,0",,C1,,30/01/2024,1,6,30/01/2024,"2,5563",Vero
MANIFATTURA ITALIA CUCIRINI,413,X23-2279ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)","175,0",,58,05/12/2024,14/12/2023,1,,16/12/2023,"185,1506",Vero
FRITSCHE,416,S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)","540,0",,37,01/10/2024,26/01/2024,4,,30/01/2024,"252,0800",Vero
FRITSCHE,417,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)","1.250,0",,38,,05/05/2024,16,,22/05/2024,"1.253,1200",Vero
JULIUS ZORN GMBH,418,S300020DN,"Muriel 3000/67f24x2 dc tpm 400 st. 3,0 (DA)","50,0",,40,10/10/2024,11/01/2024,1,256,11/01/2024,"76,3200",Vero
MAGLIFICIO FASIROTEX,420,X23-39598DN2999,"Ly 395/78f18x2 dc tpm 1000 st. 3,6 (DG) NERO","30,0",,C2,,20/12/2023,1,,23/12/2023,"34,8250",Vero
SCORTA,421,15613DN1,"Ly 156/13f5 dc tpm 2000 stiro 3,7 (DH)","460,0",,68,,08/01/2024,2,,13/02/2024,"468,9506",Vero
SCHMITZ-WERKE GmbH + Co. KG,419,S19-160046DNcol.vari,"Mu 1600/167f48x2 dc tpm 700 st. 5,0 (FA)","30,0",,41,19/11/2024,22/01/2024,1,60,22/01/2024,"32,0273",Vero
FRITSCHE,422,S21-60090DN100,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)","45,0",,40,10/10/2024,20/12/2023,1,,21/12/2023,"131,1500",Vero
SANYLEG,423,X23-4496V2ZN2,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)","800,0",,58,05/12/2024,08/01/2024,4,,28/01/2024,"897,6825",Vero
FEIN ELAST GRABHER,424,X22-1703DN,"K 17/8f5 dc tpm 3000 st. 2,8 (CI)	Mobilon 17 tipo K	0,273	8f5 parallelo	290	2 x 27 gg (1299)	1	N				","450,0",,7,20/01/2025,08/01/2024,1,448,04/02/2024,"170,3625",Vero
,,,,,,7,20/01/2025,21/02/2024,2,448,15/04/2024,"340,7250",
MEDI,425,S18-160044DN100,"Mu 1600+62f18/62f18 dc tpm 800 st. 1,8 (BI)","50,0",,40,10/10/2024,22/01/2024,1,200,22/01/2024,"49,3750",Vero
SCORTA,426,X23-7890DF minispole,"Ly78/11f5 miracosmo DC tpm 1900 stiro 3,64 (DEG)","50,0",,69,18/10/2024,22/12/2023,1,188,31/12/2023,"54,1822",Vero
UTEXBEL,427,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)","550,0",,37,01/10/2024,19/01/2024,7,,25/01/2024,"567,00",Vero
W.ZIMMERMANN,1,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)","1.235,50",,56,26/12/2024,11/01/2024,4,,16/02/2024,"609,0975",Vero
,,,,,,57,,18/01/2024,4,,23/02/2024,"609,0975",
CSP INTERNATIONAL,2,7032S+ZN,"Ro 78/11f7 S+Z tpm 1800 st. 3,7 (DH)","220,0",,24,22/10/2024,18/01/2024,1,,04/02/2024,"223,8500",Vero
SCORTA,3,1724S+ZN 2cicli,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)","690,0",,71,06/11/2024,08/02/2024,6,,05/06/2024,"727,5881",Vero
DIAMANT,4,39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","20,0",,C2,,29/01/2024,1,26,30/01/2024,"21,0062",Vero
SANYLEG,5,62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8","330,0",,40,10/10/2024,16/01/2024,1,,18/01/2024,"165,600",Vero
UTEXBEL,428,S600A04DN,"Muriel 600/50/1/39 dc 700 st. 4,5 (EF)","50,0",,37,01/10/2024,16/01/2024,1,228,16/01/2024,"72,1406",Vero
SCORTA,6,13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)","1.800,0",,30,,18/01/2024,9,,02/03/2024,"1.692,900",Vero
AMBROFIBRE,7,X23-2280S+ZN,"s22/22f7 S + Z tmp 1550 st. 3,2 GRS (DC)","70,0",,7,20/01/2025,15/01/2024,2,128,29/01/2024,"99,00",Vero
SCORTA,9,1726S+ZN,"Ly17/40f40 S+Z tpm 600 st. 3,2 (DC)","500,0",,70,05/12/2024,22/01/2024,2,,05/02/2024,"515,300",Vero
DIAMANT,10,X22-39503DN490,"Ly395/167f36 dc tpm 800 st. 4,15 (EBF)","12,0",,C2,,17/01/2024,1,26,18/01/2024,"21,0062",Vero
FISHER & PAYKEL,11,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","190,0",,39,09/10/2024,16/02/2024,1,,17/02/2024,"215,2296",Vero
FISHER & PAYKEL,12,X21-39599V7DN0333,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Grey","190,0",,40,10/10/2024,10/02/2024,1,,11/02/2024,"215,2296",Vero
CSP PARIS,13,4466SN1,"Ly44/22f7 S tpm 1900 stiro 3,6 (DG)","130,0",,59,05/10/2024,17/01/2024,1,,27/01/2024,"133,6634",Vero
SCORTA,14,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)","880,0",,6,24/10/2024,15/01/2024,12,448,19/08/2024,"1.267,1400",Vero
SCORTA,15,28503ZN,"Ly285/78f68 Z tpm 726 st. 4,6 (EG)","530,0",,23,,18/01/2024,2,,24/01/2024,"573,1200",Vero
SCORTA,16,4405S+ZN,"Ly44/11f7 S+Z  tpm 2000 st. 3,9 (DL)","260,0",,24,22/10/2024,16/01/2024,2,247,14/02/2024,"253,7153",Vero
AMBROFIBRE,8,X24-2201S+ZN,"s22/22f7 S + Z tmp 1550 st. 3,2 GRS (DC)","440,0",,54,,20/01/2024,4,,17/02/2024,"408,3750",Vero
FEIN ELAST GRABHER,17,11007SF 2 cicli,"Ro15/11f7 S tpm 2180 st. 2,75 (CHF)","400,0",,55,27/09/2024,24/01/2024,1,240,18/02/2024,"128,8359",Vero
,,,,,,51,25/11/2024,01/02/2024,2,,22/03/2024,"283,4391",
BRAM,20,1730S+ZN,"K17/11f16 S+Z tpm 2150 st. 2,8 (CI)","165,0",,60,,12/02/2024,2,,10/03/2024,"182,6550",Vero
FALKE,107,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)","500,0",02/05/2024,1,,03/04/2024,3,,26/05/2024,"373,1273",Vero
MARYGOLD,18,X23-1399ZN2,"Cr13/44f34 Z tpm 500 st. 2,8 (CI)","100,0",,C3,,23/01/2024,12,24,17/02/2024,"110,2275",Vero
SANYLEG,19,X24-31001DN366,"Ro 310/33f34 dc  tpm 1030 stiro 5,0 (FA)","300,0",,40,10/10/2024,29/01/2024,2,,05/02/2024,"293,400",Vero
FILATURA,22,S17-60040DN,"Mu600+62f18/62f18 DC tpm 800 st. 1,8 (BI)","6,0",,C1,,23/01/2024,2,12,24/01/2024,"6,1875",Vero
CALZIFICIO TREVER,23,4464S+ZN,"K44/13f10 S+Z tpm 1800 st. 2,8 (CI)","1.540,0",,54,,26/02/2024,4,,06/04/2024,"533,4863",Vero
,,,,,,34,27/09/2024,02/03/2024,2,,22/03/2024,"258,6600",
,,,,,,53,05/12/2024,05/02/2024,6,,05/04/2024,"800,2294",
FGP,21,31004DN220379,"Cr310/78f68  dc tpm 1200 st. 2,7  (CH)","600,0",,39,09/10/2024,02/03/2024,3,,14/03/2024,"747,9600",Vero
FGP,24,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8","900,0",,42,,06/03/2024,5,,26/03/2024,"1.109,200",Vero
RADICI,25,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","200,0",,46,,02/02/2024,1,,07/02/2024,"227,7400",Vero
RADICI,26,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","2.200,0",,46,,08/02/2024,10,,29/03/2024,"2.277,400",Vero
SANYLEG,27,2274ZN2015,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)","200,0",,58,05/12/2024,03/02/2024,1,160,06/02/2024,"125,800",Vero
SANYLEG,28,2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)","400,0",,58,05/12/2024,31/01/2024,1,256,03/02/2024,"201,2800",Vero
,,,,,,58,05/12/2024,06/02/2024,1,256,09/02/2024,"201,2800",
ALLERGO SYSTEM,29,4462ZN2,"Cr44/78f68 nero Z tpm 1000 st. 3,2 (DC)","90,0",,18,06/10/2024,26/01/2024,1,180,29/01/2024,"98,7117",Vero
LONATI SPA,30,X23-7896DN2,"Ly78/330f72 dc TPM 900 st. 4,0 (EA)","6,0",,C1,,31/01/2024,1,8,01/02/2024,"6,2819",Vero
LONATI SPA,31,23503DN-5000,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)","6,0",,39,09/10/2024,30/01/2024,1,8,31/01/2024,"6,8027",Vero
CSP PARIS,32,4412SN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)","120,0",01/03/2024,59,05/10/2024,29/01/2024,1,,11/02/2024,"152,2125",Vero
SANYLEG,33,X24-4401S+ZF2,"Ly 44/50f42x2 S+Z tmp 600 st. 3,2","100,0",,52,01/10/2024,02/02/2024,1,180,04/02/2024,"105,3633",Vero
FRITSCHE,34,S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)","2.300,0",04/04/2024,37,01/10/2024,11/02/2024,18,,02/03/2024,"1.134,3600",Vero
T.A.T SRL,35,S16-60015V2DN2,"Mu600/100/1 aramidico DC tpm 1250 st. 4,5 (EF)","200,0",,38,,02/02/2024,2,256,06/02/2024,"216,4800",Vero
CALZE OLONA,36,1301ZN,"Ly130/22f7x2 Z tpm 800 st. 4,2 (EC)","230,0",,23,,06/02/2024,1,,10/02/2024,"228,1933",Vero
BUCAN D.O.O.,37,S18-160040DN,"Mu1600/62f18 solvron dc tpm 700 st. 3,6 (DG)","12,0",,37,01/10/2024,01/02/2024,1,80,01/02/2024,"11,5313",Vero
DIAMANT,38,39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","140,0",,C2,,,,,,,Vero
ATHENA,39,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)","840,0",,58,05/12/2024,26/02/2024,4,,17/03/2024,"880,4400",Vero
DIAMANT,40,39502DN-colori vari,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","2,0",,,,,,,,,Vero
GIZETA,41,X23-2295S+ZN,"Cr 22/22f10 S+Z ecocare tpm 1550 st. 3,4 (DE)","330,0",,35,18/10/2024,08/02/2024,3,,03/03/2024,"359,100",Vero
SCORTA,42,4424ZN,"Ly44/44f34 Z tpm 1000 st. 3,8 (DI)","480,0",,52,01/10/2024,09/02/2024,2,,25/02/2024,"473,0550",Vero
MAXIS,44,1731DN,"K17/22f20 DC tpm 1600 st. 2,8 (CI)","400,0",,68,,13/02/2024,4,,19/03/2024,"406,6528",Vero
FGP,46,X24-2202S+Z colorati,"Cr 22/44f40 S+Z tpm 900 st. 3,2 (DC)","97,20",,44,11/10/2024,16/02/2024,1,128,19/02/2024,"56,700",Vero
SCORTA,47,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)","1.200,0",,18,06/10/2024,09/02/2024,6,,22/03/2024,"1.470,6300",Vero
CSP PARIS,48,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)","390,0",,59,05/10/2024,13/02/2024,3,,13/03/2024,"400,9902",Vero
IBENA,49,S20-60076V2DN,"Mu 600+62f18/70-1  dc tpm 1100 st. 1,8 (BI)","280,0",,38,,12/03/2024,4,,14/03/2024,"284,6400",Vero
FALKE,14,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)","120,0",,,,,,,,,Vero
FALKE,14,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)","120,0",,,,,,,,,Vero
FALKE,14,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)","120,0",,,,,,,,,Vero
SANYLEG,51,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)","1.100,0",20/02/2024,40,10/10/2024,12/03/2024,12,,23/05/2024,"1.669,1400",Vero
SANYLEG,52,33002DN,"Ly330/22f7 dc tpm 1200 st. 4,8 (EI)","130,0",,,,,,,,,Vero
SANYLEG,53,X23-4496V2ZN2,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)","220,0",,72,21/11/2024,15/02/2024,1,,20/02/2024,"224,4206",Vero
SANYLEG,54,62001DN2,"Ro620/50f34 dc tpm 800 st.5,2","250,0",02/04/2024,,,,,,,,Vero
DUELEGS,55,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1","100,0",,13,,29/02/2024,1,,10/03/2024,"110,9400",Vero
SCORTA,59,4412S+ZN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)","600,0",,72,21/11/2024,21/02/2024,4,,12/04/2024,"608,8500",Vero
SCORTA,60,4405ZN,"Ly44/11f7 Z  tpm 2000 st. 3,9 (DL)","130,0",,24,22/10/2024,23/02/2024,1,,08/03/2024,"131,4800",Vero
FALKE,57,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)","20,0",,55,27/09/2024,16/02/2024,1,,07/03/2024,"107,9925",Vero
MARYGOLD,58,X23-1299DN mini,"Ly 12/8f5 dc tpm 2600 st. 2,6 (CG)","80,0",,69,18/10/2024,19/02/2024,1,,14/03/2024,"76,8178",Vero
T.A.T SRL,61,S16-60015V2DNA1,"Mu600/100/1 aramidico DC tpm 1250 st. 4,5 (EF)","200,0",,38,,27/02/2024,2,,02/03/2024,"216,4800",Vero
ALPIN CORAP,63,23505DN1,"Ly235/78f24x2 dc tpm 780 st. 4,15 (EBF)","10,0",,C2,,22/02/2024,1,14,24/02/2024,"12,3826",Vero
DUELEGS,56,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7","130,0",,57,,08/03/2024,2,,26/03/2024,"274,9313",Vero
TAT TESSITURA AUTOMATICA TAVERNERIO,62,X24-7801ZN2,"Ly 78/78f18 Z nero tpm 900 stiro 3,5","18,0",,C1,,22/02/2024,3,12,28/02/2024,"17,4488",Vero
CALZIFICIO CREMONA,65,X20-2222DN2 mini,"KLC22 nero/11f7 recy nero dc tpm 2000 st. 2,9 (CL)","200,0",,36,15/11/2024,02/03/2024,2,,07/04/2024,"214,00",Vero
HEXONIA GMBH,64,S18-200017DN2,"Mu2000+62f18/62f18 DC tpm 800 st. 1,8 (BI)","5,0",,,,,,,,,Vero
ESTAMBRIL TEXTILES INTERNATIONAL S.L.,66,S600A07DN,"Muriel 600/70 dc tpm 1000 st. 4,6","37,0",,,,,,,,,Vero
SCORTA,70,2013S+ZN,"Ly 20/13f10 S+Z  tpm 1400 st. 2,9 (CL)","200,0",,60,,15/03/2024,2,,03/04/2024,"208,4156",Vero
SCORTA,68,S18-160044DN100,"Mu 1600+62f18/62f18 dc tpm 800 st. 1,8 (BI)","6,0",,,,,,,,,Vero
DIAMANT,71,39502DN2,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","30,0",,C2,,06/03/2024,2,,09/03/2024,"51,7075",Vero
SANYLEG,74,62001DN1,"Ro620/44f34 dc tpm 800 st. 5,2 (FC)","720,0",,42,,02/03/2024,3,,13/03/2024,"715,4400",Vero
SANYLEG,75,2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)","400,0",,52,01/10/2024,06/03/2024,1,,09/03/2024,"207,5700",Vero
,,,,,,52,01/10/2024,21/03/2024,1,,24/03/2024,"207,5700",
SANYLEG,76,62002DN2,"Cr620/78f18  dc tpm 800 st. 4,8","660,0",,,,,,,,,Vero
SANYLEG,73,X23-47097DN366,"Ro 470/33f34 dc  tpm 1030 stiro 5,0 (FA)","1.500,0",,42,,26/03/2024,13,,29/04/2024,"1.562,4700",Vero
SANYLEG,77,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)","2.912,0",,23,,01/02/2024,26,,21/04/2024,"2.912,00",Vero
SANYLEG,78,15613DN1,"Ly 156/13f5 dc tpm 2000 stiro 3,7 (DH)","460,0",,67,11/11/2024,28/02/2024,2,,04/04/2024,"468,9506",Vero
SANYLEG,72,X17-4495ZN,"Cr44/22f7 Z tpm 1500 st. 3,6 (DG)","290,0",,44,11/10/2024,28/02/2024,2,,17/03/2024,"286,7600",Vero
SCORTA,80,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)","1.200,0",,49,20/12/2024,27/04/2024,6,,12/07/2024,"441,6750",Vero
,,,,,,61,,31/05/2024,4,,21/07/2024,"824,4600",
UTEXBEL,81,S600A03DN,"Muriel 600/50/1 mista cotone dc 700 st. 4,5 (EF)","550,0",,37,01/10/2024,03/05/2024,3,,05/05/2024,"243,00",Vero
UTEXBEL,82,S600A04DN,"Muriel 600/50/1/39 dc 700 st. 4,5 (EF)","50,0",,,,,,,,,Vero
SINERGY GROUP,83,10996SN,"Cr44/22f7 S tpm 650 st. 3,5 (DF)","140,0",,25,15/10/2024,08/03/2024,1,,12/03/2024,"143,4500",Vero
ATHENA,84,X22-7810S-ZN354 4 ci,"Ly 78/50f42 s+Z tpm 1100 st. 3,5 (EC)","240,0",,70,05/12/2024,12/03/2024,2,,19/03/2024,"248,2219",Vero
FISHER & PAYKEL,85,X21-39599V7DN0333,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Grey","190,0",,,,,,,,,Vero
FISHER & PAYKEL,86,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","190,0",,,,,,,,,Vero
MEDI,87,X23-4489DN,"roica 44/44f13x2/56f34x2 dc tpm 500 st. 2,8 (CI)","150,0",,42,,21/03/2024,1,,23/03/2024,"194,8800",Vero
FILTRADING,89,X21-1796ZN,"K17/8f5 Z tpm 750 st. 3,3 (DD)","70,0",,52,01/10/2024,12/03/2024,1,,19/03/2024,"81,1800",Vero
DIAMANT,88,39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","22,0",,C2,,21/03/2024,1,30,22/03/2024,"24,2379",Vero
TATRASVIT,91,S18-200014DN,"Mu2000/62f18 DC tpm 700 st. 3,6 (DG)","7,0",,,,,,,,,Vero
FALKE,92,X22-2005V2ZN vari co,"Ly 20/22f7x2 Z tpm 900 st. 2,9 (CL)","39,0",25/04/2024,,,,,,,,Vero
SANYLEG,93,X24-4401S+ZF2,"Ly 44/50f42x2 S+Z tmp 600 st. 3,2","200,0",21/03/2024,24,22/10/2024,20/03/2024,2,,24/03/2024,"299,700",Vero
CALZIFICIO TEX STYLE,94,2266S+ZN,"Cr22/19f6 S+Z  tpm 1750 st. 3,2 (DC)","90,0",01/04/2024,35,18/10/2024,20/03/2024,1,,27/03/2024,"87,1884",Vero
FF,95,4461SF,"Cr44/110f24 S tpm 600 st. 3,2 (DC)","200,0",25/03/2024,44,11/10/2024,20/03/2024,1,,22/03/2024,"215,5200",Vero
CALZIFICIO CREMONA,96,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","160,0",24/04/2024,26,,19/03/2024,1,,21/03/2024,"114,00",Vero
SCORTA,98,2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)","650,0",,31,,27/03/2024,3,,08/04/2024,"664,0200",Vero
ATHENA,90,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)","440,0",,,,,,,,,Vero
BUCAN D.O.O.,97,S18-160040DN,"Mu1600/62f18 solvron dc tpm 700 st. 3,6 (DG)","12,0",,,,,,,,,Vero
MICHELE LETIZIA,99,X24-7802S+ZN,Cr 78-44f72 S+Z tpm 900 st. 3.4 (DE),"500,0",,51,25/11/2024,22/03/2024,4,,07/04/2024,"616,5225",Vero
ATHENA,100,X21-4489V3S+ZN,"Lycra 44/44f34 S+Z tpm 750 st. 3,0 (DA)","500,0",,70,05/12/2024,22/03/2024,4,,03/04/2024,"588,6788",Vero
AUSSCO,101,S15-60008V3DN2,"Muriel 600/83f36 nero dc 1500 st. 4,7 (EH)","5,0",04/04/2024,,,,,,,,Vero
FGP,103,X23-31094DN3813,"Ly310/78f68 dc tpm 1500 st. 3,8","550,0",01/07/2024,40,10/10/2024,29/04/2024,3,,13/05/2024,"665,8500",Vero
CALZIFICIO CREMONA,102,X21-2291SF,"K22/44f48 Z tpm 600 st. 2,9 (CL)","215,0",18/04/2024,25,15/10/2024,08/04/2024,2,,12/04/2024,"228,00",Vero
SCORTA,105,4424ZN/F,"Ly44/44f34 Z tpm 1000 st. 3,8 (DI)","230,0",10/04/2024,,,,,,,,Vero
SANYLEG,104,2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)","630,0",,,,,,,,,Vero
SANYLEG,106,X23-4496V2ZN2,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)","220,0",,,,,,,,,Vero
SANYLEG,108,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)","1.540,0",,68,,09/05/2024,15,,24/07/2024,"1.642,7813",Vero
SANYLEG,109,X24-31001DN366,"Ro 310/33f34 dc  tpm 1030 stiro 5,0 (FA)","576,0",,42,,28/05/2024,4,,12/06/2024,"586,800",Vero
SANYLEG,110,62002DN,"Cr620/78f24 dc tpm 800 st. 4,8","420,0",20/04/2024,,,,,,,,Vero
