codarticolo,descrizione,anima,copertura,spire_reali,velocita calcolata,kg_ora,spandex,ciclo,no_cicli,ore_levata,Divisore,peso elastomero,Peso spola,programma ribobinatura S,programma ribobinatura Z,programma termofissaggio,kw tempo,kw percentuale,fine validita
10353ZF,"Ly 78/44f13 Z tpm 1100 st. 2,6 (CG)",Lycra 78 162C,44f13 test. S PA 66,1050,17200,"1,87","2,76",2 x 4 gg (192),2,96,,530,435,,25,4,,,
10369ZF/2013,"Cr 44/78f18 Z tpm 600 st. 3,7 (DH)",Creora 44 H350,78f18 Z  PA 6 vari colori,600,13200,"3,15","1,49",5 x 3 gg + 4 h (378),5,"75,6",,550,803,,41,6,,,
10369ZF2,"Cr 44/78f18 Z tpm 600 st. 3,7 (DH)",Creora 44 H350,78f18 Z PA 6 francia e nero,600,13200,"3,15","1,49",5 x 3 gg + 4 h (378),5,"75,6",,550,803,,41,11,,,
10985ZF,"Ly44/78f68 Z tpm 1000 st. 3,3 (DD)",Lycra 44 162C,78f68 test. S PA 66,960,13500,"2,05","1,1",4 x 4 gg + 22 h (472),4,118,,517,820,,41,11,,,
10985ZF spole 880 gr,"Ly44/78f68 Z tpm 1000 st. 3,3 (DD)",Lycra 44 162C,78f68 test. S PA 66,960,12300,"1,87",1,3 x 5 gg + 19 h (417) 420 gr lycra,3,139,,517,880,,41,11,,,
10996SN,"Cr44/22f7 S tpm 650 st. 3,5 (DF)",Creora 44 H350,22f7 parallelo PA 66,630,17500,"1,51","2,12",3 x 3 gg + 20 h (278),3,95,,550,390,9,,,,,
10996ZN,"Cr44/22f7 Z tpm 650 st. 3,5 (DF)",Creora 44 H350,22f7 parallelo PA 66,630,18500,"1,51","2,12",3 x 3 gg + 23 h (285),3,95,,550,390,,32,,,,
11006ZF,"Ro15/22f14 Z tpm 1430 st. 3,0 (DA)",Roica 15 C804,22f14 test. S PA 66,1400,16700,"0,51","0,34",4 x 9 gg + 20 h (943),4,"235,75",,312,390,,51,19,,,
11007SF 2 cicli,"Ro15/11f7 S tpm 2180 st. 2,75 (CHF)",Roica 15 C804,11f7 test. Z PA 66,2180,19500,"0,23","0,26",2 x 24 gg+ 21 h (1195),2,"597,5",,312,370,2,,5,,,
11007SF 3 cicli,"Ro15/11f7 S tpm 2180 st. 2,75 (CHF)",Roica 15 C804,11f7 test. Z PA 66,2180,20200,"0,23","0,27",2 x 16 gg (1154),3,385,,312,250,2,,5,,,
11008ZF,"Ro22/22f14 Z tpm 1400 st. 3,85 (DIF)",Roica 22 C804,22f14 test. S PA 66,1390,18900,"0,6","0,44",6 x 8 gg + 14 h (1236),6,206,,400,423,,3,17,,,
11011ZF2,"Ro22/22f7 Z tpm 1400 st. 3,85 (DIF)",Roica 22 C804,22f7 test. S nero PA 66,1390,18000,"0,61","0,42",7 x 8 gg (1345),6,"224,17",,400,365,,,11,,,
1101DN,"Ly11/8f5 dc tpm 2600 st. 2,6 (CG)",Lycra 11 165C,8f5 parallelo PA 66,2600,20700,"0,13","0,18",2 x 19 gg + 1 h (914),2,457,,166,185,,4,,,,
1283S+ZN,"Ly22/11f7 S+Z tpm 2050 st. 3,8 (DI)",Lycra 22 16AL,11f7 poy PA 66,2050,20500,"0,26","0,33",2 x 19 gg + 22 h (956),2,478,,320,360,2,1,,,,
1283SN,"Ly22/11f7 S tpm 2050 st. 3,8 (DI)",Lycra 22 16AL,11f7 poy PA 66,2050,20500,"0,26","0,33",2 x 19 gg + 22 h (956),2,478,,320,360,2,,,,,
1283ZN,"Ly22/11f7 Z tpm 2050 st. 3,8 (DI)",Lycra 22 16AL,11f7 poy PA 66,2050,20500,"0,26","0,33",2 x 19 gg + 22 h (956),2,478,,320,360,,1,,,,
13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",Lycra 130 902C,33f20 parallelo PA 66,855,14000,"1,6","2,96",3 x 4 gg + 22 h (345),3,118,,1046,390,,26,11,05:00:00,1,
13005ZF-600gr,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",Lycra 130 902C,33f20 parallelo PA 66,855,14500,"1,69","3,07",2 x 4 gg (192),2,96,,1046,370,,26,11,05:00:00,1,
13005ZF 17600,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",Lycra 130 902C,33f20 parallelo PA 66,855,18000,"2,09","3,8",3 x 3 gg + 21 h (277),3,"92,3",,1046,420,,26,11,05:00:00,1,
13006DN,Ly130/78f24x2 DC tpm 700 st. 4 (EA),Lycra 130 902C,78f24x2 PES nero starfeel,700,10800,"4,19","2,87",8 x 1 gg + 22 h (368),8,46,,1046,697,,38,,,,
13007Z,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",Lycra 130 902C,33f20 test. S PA 66,900,18000,"2,09","3,8",3 x 3 gg + 21 h (277),3,"92,3",,1046,420,,26,11,05:00:00,1,
13007ZF 903C 14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",Lycra 130 903C,33f20 test. S PA 66,900,14000,"1,59","2,94",3 x 4 gg + 19 h (346),3,115,,1020,380,,19,11,05:00:00,1,
13007ZN/F-14500,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",Lycra 130 902C,33f20 test. S PA 66,900,14500,"1,65","3,07",3 x 4 gg + 18 h (342),3,114,,1046,390,,19,11,05:00:00,1,
1301ZN,"Ly130/22f7x2 Z tpm 800 st. 4,2 (EC)",Lycra 130 902C,22f7x2 test. PA 66,800,14500,"1,99","3,07",3 x 4 gg + 19 h (344),3,"114,67",,1046,540,,46,,,,
1306S+ZN,"Ly13/33f34 S+Z  tpm 800 st. 2,6 (CG)",Lycra 13 16LL,33f34 test. S+Z PA 66,800,13200,"1,01","0,43",9 x 4 gg + 11 h (964),9,"107,11",,411,375,39,3,,,,
1306SN,"Ly13/33f34 S  tpm 800 st. 2,6 (CG)",Lycra 13 16LL,33f34 test. Z PA 66,800,13200,"1,01","0,43",9 x 4 gg + 11 h (964),9,"107,11",,411,375,39,,,,,
1306ZN,"Ly13/33f34 S  tpm 800 st. 2,6 (CG)",Lycra 13 16LL,33f34 test. Z PA 66,800,13200,"1,01","0,43",9 x 4 gg + 11 h (964),9,"107,11",,411,375,,3,,,,
1307ZF,"Ly13/26f28 Z tpm 1500 st. 2,5 (CF)",Lycra 13 16LL,26f28 test. S PA 66,1500,15000,"0,48","0,25",7 x 9 gg + 22 h (1663),7,"237,57",,411,390,,19,4,,,
15611DN,"Ro156/44f34 DC tpm 1200 st. 2,7 (CH)",Roica 156 P85B,44f34 test. S+Z PA 66 breeze,1200,12900,"1,41","3,68",2 x 2 gg + 23 h (141) /2,4,"35,25",,520,261,,38,,,,
15612DN,"Ro156/78f68 DC tpm 1200 st. 2,7 (CH)",Roica 156 P85B,78f68 test. S+Z  PA 66 breeze,1200,12700,"1,98","3,62",3 x 2 gg (144),3,48,,520,425,,38,,,,
15613DN1,"Ly 156/13f5 dc tpm 2000 stiro 3,7 (DH)",Lycra 156 162C,13f5 parallelo PA 66,1850,18500,"0,53","2,41",1 x 18 gg (432) /2,2,429,2,1063,370,,33,,,,
1561ZF,"Ly156/33f10 Z tpm 900 st. 4,3 (ED)",Lycra 156 162C,33f10 test. S PA 66,900,16100,"1,95","3,9",3 x 3 gg + 19 h (273),3,91,,1063,338,,46,9,,,
1563ZN,"El156/33f10 Z tpm 900 st. 4,0 (EA)",Elaspan 156 E02C,33f10 test. S PA 66,900,16200,"2,02","4,16",2 x 5 gg  (240),2,120,,,450,,26,,,,
1566SN,"Ro156/44f12 S tpm 900 st. 3,6 (DG)",Roica 156 P85B,44f12 test. S PA 6,900,16300,"2,48","4,65",1 x 4 gg + 12 h (108),1,108,,520,540,26,,,,,
1566ZN,"Ro156/44f12 Z tpm 900 st. 3,6 (DG)",Roica 156 P85B,44f12 test. S PA 6,900,16300,"2,48","4,65",1 x 4 gg + 12 h (108),1,108,,520,540,,26,,,,
1701S+ZN,"K17/16f10 S+Z tpm 1320 st. 2,6 (CG)",Mobilon 17 K,16f10 test. S+Z PA 66,1250,19500,"0,56","0,61",3 x 8 gg (578),3,192,,355,303,11,12,,,,
1701SN,"K17/16f10 Z tpm 1320 st. 2,6 (CG)",Mobilon 17 K,16f10 test. Z PA 66,1250,19500,"0,56","0,61",3 x 8 gg (578),3,192,,355,303,11,,,,,
1701ZN,"K17/16f10 Z tpm 1320 st. 2,6 (CG)",Mobilon 17 K,16f10 test. Z PA 66,1250,19500,"0,56","0,61",3 x 8 gg (578),3,192,,355,303,,12,,,,
1702ZN2,"K17/22f7/44f34 DC  nero st. 2,8 (CI)",Mobilon 17 K,22f7 bx par/44f34 S bk nero PA 66,2100,22000,"0,41","0,32",2 x 19 gg  (926),2,463,,355,,,,,,,
1704S+ZN,"Ly 17/11f7 S+Z tpm 1700 st. 3,45 (DEF)",Lycra 17 16AL,11f7 POY PA 66,1650,21000,"0,31","0,34",3 x 13 gg + 23 h (1004),3,"334,67",,400,295,12,11,,,,
1704SN,"Ly 17/11f7 S+Z tpm 1700 st. 3,45 (DEF)",Lycra 17 16AL,11f7 POY PA 66,1650,21000,"0,31","0,34",3 x 13 gg + 23 h (1004),3,"334,67",,400,295,12,,,,,
1704ZN,"Ly 17/11f7 S+Z tpm 1700 st. 3,45 (DEF)",Lycra 17 16AL,11f7 POY PA 66,1650,21000,"0,31","0,34",3 x 13 gg + 23 h (1004),3,"334,67",,400,295,,11,,,,
1706S+ZN,"Ly 17/22f20 S+Z tpm 1000 st. 3,2 (DC)",Lycra 17 16AL,22f20 test. S+Z PA 66,975,18000,"0,8","0,53",4 x 4 gg + 13 h (434),4,"108,5",,400,288,28,24,,,,
1710SN2,"K17/17f3/44f34 nero st. 2,8 (CI)",mobilon 17 k,17f3 bx/44f34 S bk nero  PA 66,800,15600,"1,08","0,73",7 x 2 gg + 22 h (488),7,"69,71",,355,,59,,,,,
1723ZN1,"Cr17/22f7 Z tpm 1100 st. 3,2 (DC)",Creora 17 H350,22f7 test. S PA66,1050,18500,"0,75","0,51",6 x 5 gg + 22 h (850),4,169,,422,346,,3,,,,
1723ZN2,"Cr17/22f7 Z tpm 1100 st. 3,2 (DC)",Creora 17 H350,22f7 test. S PA66,1050,18500,"0,75","0,51",6 x 5 gg + 22 h (850),4,169,,422,346,,3,,,,
1724S+ZN,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)",Mobilon 17 K,10f2 kafilarta PA 6,20200,20200,"0,25","0,37",3 x 13 gg (941),3,314,,355,190,59,58,,,,
1724S+ZN 2cicli,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)",Mobilon 17 K,10f2 kafilarta PA 6,20200,20200,"0,25","0,37",2 x 19 gg + 14 h (941),2,"470,36",,355,285,59,58,,,,
1725DN,"Cr17/78f46 dc tpm 900 2,6 (CG)",Creora 17 H350,78f46 test. S+Z PA 66,900,12500,"1,78","0,52",7 x 4 gg + 21 h (820),7,117,2,422,800,,7,,,,
1725DN racc 230,"Cr17/78f46 dc tpm 900 st. 2,6 (CG)",Creora 17 H350,78f46 test. S+Z PA 66,900,12500,"1,78","0,52",7 x 4 gg + 21 h (820),7,117,,422,800,,7,,,,
1726S+ZN,"Ly17/40f40 S+Z tpm 600 st. 3,2 (DC)",Lycra 17 16AL,40f40 test. S+Z PA 66,580,12300,"1,52","0,61","4 x 6 gg + 20 h (657,5)",4,"164,37",,400,878,16,23,,,,
1728DN,"Cr17/78f34 dc tpm 900 st. 2,5 (CF)",Creora 17 H350,78f34 test. S+Z PA 66,900,13300,"1,93","0,54",11 x 3 gg + 5 h (848),11,"77,09",,422,770,,7,,,,
1729S+ZN,"K17/5f3 S+Z tpm 2700 st. 2,6 (CG)",Mobilon 17 K,5f3 poy PA 66,2600,21000,"0,15","0,32",2 x 23 gg + 8 h (1120),2,560,,355,142,,2,,,,
1730S+ZN,"K17/11f16 S+Z tpm 2150 st. 2,8 (CI)",Mobilon 17 K,11f16 miracosmo PA 6,2120,21000,"0,27","0,36",3 x 13 gg + 16 h (984),3,328,,355,225,59,58,,,,
1730S+ZN mini,"K17/11f16 S+Z tpm 2150 st.2,8 (CI)",Mobilon 17 K,11f16 miracosmo PA 6,2120,21000,"0,27","0,36",3 x 13 gg + 16 h (984),3,328,,355,,59,58,,,,
1731DN,"K17/22f20 DC tpm 1600 st. 2,8 (CI)",Mobilon 17 K,22f20 test. S+Z PA 66,1550,18000,"0,47","0,42",4 x 8 gg + 18 h (839),4,"209,75",,355,340,,4,,,,
1731DN 5cicli,"K17/22f20 DC tpm 1600 st. 2,8 (CI)",Mobilon 17 K,22f20 test. S+Z PA 66,1550,18000,"0,48","0,42",5 x 7 gg (840),5,"168,12",,355,275,,4,,,,
1732DN1,"K17/5f3 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,5f3 POY PA 66,2800,21000,"0,1","0,27",2 x 27 gg (1295),2,"647,5",,440,190,,29,,,,
2008DN,"Ly 200/33f10 dc tpm 1100 st. 4,8 (EI)",Lycra 200 902C,33f10 test. S PA 66,1100,18000,"1,37","3,84",2 x 5 gg (240),2,120,,922,415,,46,,,,
20098DN,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)",Lycra 200 902C,44f13x2 test. PA 66,950,14500,"1,71","4,09",5 x 1 gg + 22 h (230),3,46,,922,400,,44,,,,
20098DN-VARI COL,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)",Lycra 200 902C,44f13x2 test. PA 66  vari colori,950,14500,"1,71","4,09",5 x 1 gg + 22 h (230),3,46,,922,400,,44,,,,
20099ZF,"Ly 200/33f20 Z tpm 900 st. 4,5 (EF)",Lycra 200 902C,33f20 test. S PA 66,900,14000,"1,86","3,88",2 x 4 gg + 22 h (238),2,119,,922,405,,96,4,,,
2011DN,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,13f10 parallelo PA 66,2340,21000,"0,25","0,35",2 x 14 gg + 23 h (718),2,359,,268,310,,29,,,,
2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",Lycra 20 188C,13f10 parallelo PA 66 mispole,2340,21000,"0,25","0,35",2 x 14 gg + 23 h (718),2,359,,268,310,,29,,10:00:00,"0,2",
2012S+ZN,"Ly 20/13f14 S+Z  tpm 1400 st. 2,9 (CL)",Lycra 20 77FF,13f14 parallelo PA 66,1400,18500,"0,43","0,55",2 x 9 gg + 20 h (470),2,235,,258,264,36,17,,,,
2013S+ZN,"Ly 20/13f10 S+Z  tpm 1400 st. 2,9 (CL)",Lycra 20 77FF,13f10 parallelo PA 66,1400,18500,"0,43","0,55",2 x 9 gg + 20 h (470),2,235,,258,264,36,17,,,,
2013S+ZN mini,"Ly 20/13f10 S+Z  tpm 1400 st. 2,9 (CL)",Lycra 20 77FF,13f10 parallelo PA 66 minispole,1400,18500,"0,43","0,55",2 x 9 gg + 20 h (470),2,235,,258,264,36,17,,,,
2202ZF,"Cr22/22f7 Z tpm 1100 st. 3,2 (DC)",Creora 22 H350,22f7 test. S PA66,1000,18900,"0,89","0,78",5 x 5 gg + 21 h (705),5,141,,550,370,,3,3,,,
2202ZN,"Cr22/22f7 Z tpm 1100 st. 3,2 (DC)",Creora 22 H350,22f7 test. S PA66,1000,18900,"0,89","0,78",5 x 5 gg + 21 h (705),5,141,,550,370,,3,,,,
2202ZN/F 17200,"Cr22/22f7 Z tpm 1100 st. 3,2 (DC)",Creora 22 H350,22f7 test. S PA66,1000,17200,"0,81","0,71",5 x 6 gg + 11 h (775),5,155,,550,370,,3,3,,,
2204ZF1,"Ly22/13f5 Z tpm 1300 st. 3,8 (DI)",Lycra 22 16AL,13f5 text S PA 66,1300,20200,"0,48","0,55",3 x 7 gg + 22 h (570),3,190,,320,255,,1,3,,,
2205S+ZN,"Ly 22/8f5 S+Z tpm 2800 st. 3,6 (DG)",Lycra 22 16AL,8f5 parallelo PA 66,2700,20000,"0,17","0,26",3 x 16 gg + 15 h (1196),3,"398,67",,320,160,54,55,,,,
2211ZF,"Roica 22/44f24 Z tpm 1000 st. 3,2 (DC)",Roica 22 B845,44f24 cupro,1000,12300,"0,93","0,47",6 x 7 gg + 10 h (1071),6,"178,5",,510,570,,42,11,,,
2218ZN,"Ly22/22f7 Z  tpm 1000 st. 3,8 (DI)",Lycra 22 16AL,22f7 test. S PA66,950,18700,"0,87","0,66",4 x 4 gg + 23 h (475),4,"118,75",,320,330,,3,,,,
2221ZN,"Cr22/44f13 Z tpm 800 st. 3,2 (DC)",Creora 22 H350,44f13 test. S PA 66,800,15000,"1,51","0,73",10 x 3 gg (725),3,"24,16",,550,380,,53,,,,
2223DN,"Cr22/8f5 dc tpm 2000 st. 3,2 (DC)",Creora 22 H350,8f5 parallelo PA 66,2000,20500,"0,18","0,4",3 x 18gg + 22 h (1362),3,454,,550,245,,4,,,,
2223DN mini,"Cr22/8f5 dc tpm 2000 st. 3,2 (DC)",Creora 22 H350,8f5 parallelo PA 66 minispole,2000,20500,"0,18","0,4",3 x 18gg + 22 h (1362),3,454,,550,245,,4,,,,
2226ZN2,"Ly22/44f34 S+Z tpm 1000 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. Z  PA 66 nero,900,18000,"1,6","0,71",6 x 3 gg + 2 h (442),6,"73,67",,320,410,,23,,,,
2235ZN,"Ro 22/13f5 Z tpm 1750 st. 3,2 (DC)",Roica 22 B845,13f5 test. S PA 66,1650,20200,"0,38","0,48",4 x 11 gg (1055),4,"263,75",,510,270,,1,,,,
2236S-ZN1,"Cr22/44f34 S+Z tpm 900 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 66,900,15500,"1,35","0,68",9 x 3 gg +18 h (810),9,90,,550,430,,53,,,,
2236ZN,"Cr22/44f34 Z tpm 900 st. 3,2 (DC)",Creora 22 H350,44f34 test. S PA 66,900,15500,"1,35","0,68",9 x 3 gg +18 h (810),9,90,,550,430,,53,,,,
2238ZN,"Ro22/22f7 Z tpm  1500 st. 3,2 (DC)",Roica 22 B845,22f7 test. S PA66,1420,20200,"0,65","0,55",5 x 7 gg + 14 h (908),5,"181,6",,510,361,,3,,,,
2242ZF,"Ro22/56f30 Z tpm 1000 st. 3,2 (DC)",Roica 22 B845,56f30 cupro,1000,12300,"1,24","0,51",7 x 5 gg + 21 h (989),7,"141,29",,510,590,,42,11,,,
2245ZN,"Ro22/40f40 Z tpm 580 st. 3,2 (DC)",Roica 22 B845,40f40 test. S PA 66,580,10800,"1,4","0,77",4 x 6 gg + 19 h (653),4,"163,25",,510,770,,23,,,,
2246S+ZN,"Cr22/60f60 S+Z tpm 500 st. 3,2 (DC)",Creora 22 H350,60f60 test. S PA 66,500,13500,"2,96","1,03",7 x 3 gg + 4 h (530),7,76,,550,775,16,23,,,,
2246SN,"cr22/60f60 S tpm 500 st. 3,2 (DC)",Creora 22 H350,60f60 test. S PA 66,500,13500,"2,96","1,03",7 x 3 gg + 4 h (530),7,76,,550,775,16,,,,,
2246ZN 10800,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",Creora 22 H350,60f60 test. S PA 66,500,10800,"2,38","0,85",7 x 3 gg + 20 h (646),7,93,,550,755,,23,,,,
2246ZN 13500,"Cr22/60f60 Z tpm 500 st. 3,2 (DC)",Creora 22 H350,60f60 test. S PA 66,500,13500,"2,96","1,03",7 x 3 gg + 2 h (517),7,74,,550,755,,23,,,,
2250S+ZN,"KL22/11f5 S+Z tpm 1400 st. 2,75 (CHF)",Mobilon 22 KL,11f5 miracosmo PA 6,1400,18400,"0,4","0,65",2 x 13 gg + 19 h (662),2,331,,435,300,36,17,,,,
2250SN,"KL22/11f5 S tpm 1400 st. 2,75 (CHF)",Mobilon 22 KL,11f5 miracosmo PA 6,1400,18400,"0,4","0,65",2 x 13 gg + 19 h (662),2,331,,435,300,36,,,,,
2250ZN,"KL22/11f5 Z tpm 1400 st. 2,75 (CHF)",Mobilon 22 KL,11f5 miracosmo PA 6,1400,18400,"0,4","0,65",2 x 13 gg + 19 h (662),2,331,,435,300,,17,,,,
2252DN,"Ly22/22f20/40f40 DC tpm 900 st. 3,6 (DG)",Lycra 22 16AL,22f20 Z PA 66 + 40f40 S PA 66,900,17100,"1,04","0,67",3 x 6 gg + 15 h (478),3,"159,33",,320,,,14,,,,
2253SF,"Ly22/44f34 S  tpm 600 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. S PA 66,600,10800,"1,44","0,64",3 x 6 gg + 20 h (492),3,164,,320,820,16,,3,,,
2253ZF,"Ly22/44f34 Z  tpm 600 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. S PA 66,600,10800,"1,44","0,64",3 x 6 gg + 20 h (492),3,164,,320,820,,23,3,,,
2253ZF2,"Ly22/44f34 Z  tpm 600 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. S PA 66,600,10800,"1,44","0,64",3 x 6 gg + 20 h (492),3,164,,320,820,,23,3,,,
2253ZN,"Ly22/44f34 Z  tpm 600 st. 3,6 (DG)",Lycra 22 16AL,44f34 test. S PA 66,600,10800,"1,44","0,64",3 x 6 gg + 20 h (492),3,164,,320,820,,23,,,,
2254S+ZN,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 66,580,12700,"1,72","0,9",4 x 5 gg + 19 h ( 556),4,139,,550,810,,23,,,,
2254S+ZN-11000,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 66,580,11000,"1,49","0,78",4 x 6 gg + 16 h ( 641),4,160,,550,810,,23,,,,
2254SN,"Cr22/44f34 S tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. Z PA 66,580,12700,"1,72","0,9",4 x 5 gg + 19 h ( 556),4,139,,550,810,16,,,,,
2254SN-11000,"Cr22/44f34 S tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. Z PA 66,580,11000,"1,49","0,78",4 x 6 gg + 16 h ( 641),4,160,,550,810,16,,,,,
2254ZN,"Cr22/44f34 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S PA 66,580,12700,"1,72","0,9",4 x 5 gg + 19 h ( 556),4,139,,550,810,,23,,,,
2254ZN-11000,"Cr22/44f34 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S PA 66,580,11000,"1,49","0,78",4 x 6 gg + 16 h ( 641),4,160,,550,810,,23,,,,
2254ZN-11400,"Cr22/44f34 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S PA 66,580,11400,"1,53","0,77",4 x 6 gg + 17 h (464),4,161,,550,850,,23,,,,
2255ZN2,"Cr22/44f10 Z tpm 1000 st.3,2 (DC)",Creora 22 H350,44f10 test. S  PA 6 nero,900,13600,"1,22","0,59",12 x 2 gg + 23 h (847),12,71,,550,395,,53,,,,
2256ZN,"Ly20/44f34 Z tpm 500 st. 3,0 (DA)",Lycra 20 188C,44f34 test. S PA 66,500,11400,"1,86","0,93",2 x 5 gg + 21 h (283),2,"141,5",,268,895,,53,,,,
