codarticolo,descrizione,anima,copertura,spire_reali,velocita calcolata,kg_ora,spandex,ciclo,no_cicli,ore_levata,Divisore,peso elastomero,Peso spola,programma ribobinatura S,programma ribobinatura Z,programma termofissaggio,kw tempo,kw percentuale,fine validita
2261S+ZN,"Cr22/78f68 SZ tpm 600 st. 3,2 (DC)",Creora 22 H350,78f68 test. S+Z PA 66,580,11000,"2,57","0,74",8 x 3 gg + 15 h (693),8,"86,62",,550,810,23,23,,,,
2261ZN,"Cr22/78f68 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,78f68 test. Z PA 66,580,11000,"2,57","0,74",8 x 3 gg + 15 h (693),8,"86,62",,550,810,,23,,,,
2261ZN-B10A,"Cr22/78f68 Z tpm 600 st. 3,2 (DC)",Creora 22 H350,78f68 test. Z  PA 6 pink B10A,580,11000,"2,57","0,74",8 x 3 gg + 15 h (693),8,"86,62",,550,810,,23,,,,
2261ZN2,"Cr22/78f70 nero Z tpm 600 st. 3,2 (DC)",Creora 22 H350,78f70 test. S PA 6 nero,580,11000,"2,57","0,74",8 x 3 gg + 15 h (693),8,"86,62",,550,810,,23,,,,
2263S+ZN,"Cr22/17f7 S+Z  tpm 1400 stiro 3,12 (DBC)",Creora 22 H350,17f7 test. S+Z PA 66,1380,18000,"0,49","0,52",4 x 9 gg + 21 h (949),4,"237,3",,550,,16,23,,,,
2264ZN,"Ly22/78f46 Z tpm 550 st. 3,8 (DI)",Lycra 22 16AL,78f46 test. Z tipo 4 PA 66,550,12700,"3,1","0,77",6 x 2 gg + 19 h (405),6,"67,5",,320,765,,23,,,,
2265S+ZN2,"Cr22/50f34 S+Z tpm 1000 st. 3,2 (DC)",creora 22 H350,50f34 test. S PA 66 nero,955,14000,"1,33","0,58",8 x 4 gg + 23 h (952),8,119,,550,550,16,23,,,,
2265SN2,"Cr22/50f34 S tpm 1000 st. 3,2 (DC)",creora 22 H350,50f34 test. S PA 66 nero,955,14000,"1,33","0,58",8 x 4 gg + 23 h (952),8,119,,550,550,16,23,,,,
2265ZN2,"Cr22/50f34 Z tpm 1000 st. 3,2 (DC)",creora 22 H350,50f34 test. S PA 66 nero,955,14000,"1,33","0,58",8 x 4 gg + 23 h (952),8,119,,550,550,16,23,,,,
2266S+ZN,"Cr22/19f6 S+Z  tpm 1750 st. 3,2 (DC)",Creora 22 H350,19f6 test. S+Z PA 66,1650,21000,"0,52","0,5",6 x 7 gg (1006),6,"167,67",,550,310,15,37,,,,
2267S+ZN,"Fusion 20/11f7 s+Z tpm 1600 st. 3,2 (DC)",Lycra 20 77FF,11f7 POY PA 66,1500,19800,"0,36","0,5",2 x 10 gg + 20 h (520),2,260,,258,240,2,1,,,,
2268S+ZN,"K22/22f20 S+Z tpm 2300 st. 2,8 (CI)",Mobilon 22 K,22f20 test. S+Z PA 66,2200,16000,"0,04","0,36",3 x 15 gg + 22 h (1149),3,"382,93",,440,405,2,1,,,,
2269ZF2,"Cr22/22f7 Z nero tpm 1100 st. 2,8 (CI)",creora 22 H350,22f10 test. S nero PA 66,1050,16000,"0,8","0,72",5 x 5 gg + 21  h (706),4,"176,5",,550,345,,3,9,,,
2269ZN/F2,"Cr22/22f7 Z nero tpm 1100 st. 2,8 (CI)",Creora 22 H350,22f10 test. S nero PA 66,1050,16000,"0,8","0,72",5 x 5 gg + 21  h (706),4,"176,5",,550,345,,3,9,,,
2269ZN2,"Cr22/22f7 Z nero tpm 1100 st. 2,8 (CI)",Creora 22 H350,22f10 test. S nero PA 66,1050,16000,"0,8","0,72",5 x 5 gg + 21  h (706),4,"176,5",,550,345,,3,,,,
2270,"Ly156/33f10 Z tpm 900 st. 4,3 (ED)",Lycra 156 162C,33f10 test. S PA 66,900,16100,"1,95","3,9",3 x 3 gg + 19 h (273),3,91,,1063,338,,36,9,10:00:00,"0,5",
2270S+ZN,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6,1810,21000,"0,34","0,57",2 x 15gg + 20 h (760),2,380,,435,300,17,36,,10:00:00,"0,5",
2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6,1810,19800,"0,34","0,54",2 x 16gg + 20 h (806),2,403,,435,300,17,36,,10:00:00,"0,5",
2270S+ZN mini,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6 minispole,1810,21000,"0,34","0,57",2 x 15gg + 20 h (760),2,380,,435,300,17,36,,10:00:00,"0,5",
2270S+ZN mini 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6 minispole,1810,19800,"0,34","0,54",2 x 16gg + 20 h (806),2,403,,435,300,17,36,,10:00:00,"0,5",
2270SN,"KL22/11f5 S  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6,1810,21000,"0,34","0,57",2 x 15gg + 20 h (760),2,380,,435,300,17,17,,10:00:00,"0,5",
2270SN mini,"KL22/11f5 S  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6 minispole,1810,21000,"0,34","0,57",2 x 15gg + 20 h (760),2,380,,435,300,17,17,,10:00:00,"0,5",
2270ZN,"KL22/11f5 Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6 minispole,1810,21000,"0,34","0,57",2 x 15gg + 20 h (760),2,380,,435,300,36,36,,10:00:00,"0,5",
2270ZN,"KL22/11f5 Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6,1810,21000,"0,34","0,57",2 x 15gg + 20 h (760),2,380,,435,300,36,36,,10:00:00,"0,5",
2270ZN mini,"KL22/11f5 Z  tpm 1900 st. 2,8 (CI)",Mobilon 22 KL,11f5 miracosmo PA 6 minispole,1810,21000,"0,34","0,57",2 x 15gg + 20 h (760),2,380,,435,300,36,36,,10:00:00,"0,5",
2271DN 20000 mini,"K22/8f5 dc tpm 3000 st. 2,8 CI",Mobilon 22 K,8f5 parallelo PA 66 minispole,2800,20000,"0,26","0,35",2 x 25 gg + 21 h (1242),2,"621,1",,440,,,29,,,,
2271DN 20700,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,8f5 parallelo PA 66,2800,20700,"0,15","0,36",2 x 25 (1200),2,600,,440,270,,29,,10:00:00,"0,5",
2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,8f5 parallelo PA 66 minispole,2800,20700,"0,15","0,36",2 x 25 (1200),2,600,,440,270,,29,,10:00:00,"0,5",
2271DN 22000,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,8f5 parallelo PA 66,2800,22000,"0,16","0,39",2 x 23 gg + 12 h (1129),2,"564,5",,440,270,,29,,10:00:00,"0,5",
2271DN 22000 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",Mobilon 22 K,8f5 parallelo PA 66 minispole,2800,22000,"0,16","0,39",2 x 23 gg + 12 h (1129),2,"564,5",,440,270,,29,,10:00:00,"0,5",
2272ZN,"Ro22/22f7 Z tpm 1500 st. 3,4 (DE)",Roica 22 B845,22f7 test. S PA66,1420,19400,"0,61","0,53",5 x 7 gg + 21 h (945),5,189,,510,350,,39,,,,
2273S+Z,"KL22/16f10 S+Z tpm 1400 st. 2,75 (CHF)",Mobilon 22 KL,16f10 test. S+Z PA 66,1330,18300,"0,58","0,68",3 x 8 gg + 20 h  (638),3,"212,77",,435,325,39,3,,,,
2274ZN,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)",Creora 22 C-100,78f24 test. S PA 6,600,13000,"2,96","0,73",8 x 2 gg + 19 h (544),8,68,,400,745,,23,,,,
2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)",Creora 22 C-100,78f24 test. S  PA 6nero,600,13000,"2,96","0,73",8 x 2 gg + 19 h (544),8,68,,400,745,,23,,,,
2274ZN2015,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)",Creora 22 C-100,78f24 test. S  PA 6ALLUMINIO,600,13000,"2,96","0,73",8 x 2 gg + 19 h (544),8,68,,400,745,,23,,,,
2275S+Z-N00 11400,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 6 optical white N00,580,11400,"1,6","0,77",5 x 5 gg + 22 h (710),5,142,,550,785,16,23,,,,
2275S+ZN,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 66,580,13700,"1,93","0,93",5 x 4 gg + 22 h (591),5,118,,550,785,16,23,,,,
2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 6 pink B10A,580,13700,"1,93","0,93",5 x 4 gg + 22 h (591),5,118,,550,785,16,23,,,,
2275S+ZN-B10A 11400,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 6 pink B10A,580,11400,"1,6","0,77",5 x 5 gg + 22 h (710),5,142,,550,785,16,23,,,,
2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",Creora 22 H350,44f34 test. S+Z PA 6 optical white N00,580,13700,"1,93","0,93",5 x 4 gg + 22 h (591),5,118,,550,785,16,23,,,,
2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",Creora 22 H350A,44f30 test. S+Z  PA 6,650,13000,"1,62","0,78",5 x 5 gg + 18 h (692),5,"138,4",,555,777,16,23,,,,
2277DN,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",Lycra 22 16AL,8f5 riciclato 60% parallelo PA 66,2000,20200,"0,19","0,37",2x 17 gg + 20 h (855),2,"427,5",,320,250,,4,,,,
2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",Lycra 22 16AL,8f5 riciclato 60% parallelo  PA 66 minispole,2000,20200,"0,19","0,37",2x 17 gg + 20 h (855),2,"427,5",,320,250,,4,,,,
2278ZN1,"Ly22/78f68 Z tpm 600 st. 3,2 (DC)",Lycra 22 16AL,78f68 test. S PA 66,580,13600,"3,19","0,93",5 x 3 gg  (360),5,72,,320,775,,23,,,,
2279ZN1 13200,Cr22/78f68 Z tpm 600 st- 3.2 (DC),Creora 22 H350,78f68 S PA 6,640,13200,"2,77","0,81",9 x 3 gg + 3 h (677),9,75,,550,755,,23,,,,
2279ZNB10A 11000,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),Creora 22 H350,78f68 S PA 6 pink,640,11000,"2,32","0,67",9 x 3 gg + 18 h (810),9,90,,550,755,,23,,,,
2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),Creora 22 H350,78f68 S PA 6 pink,640,13200,"2,77","0,81",9 x 3 gg + 3 h (677),9,75,,550,755,,23,,,,
2279ZNB10A 14000,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),Creora 22 H350,78f68 S PA 6 pink,640,14000,"2,94","0,86",9 x 2 gg + 23 h (638),9,71,,550,755,,23,,,,
23502DN-150053,"Lycra 235/78f68 dc tpm 1200 st. 2,7 (CH)",Lycra 235 26AL,78f68 test. S  PA 66 bianco ottico,1200,13000,"2,32","5,8",2 x 3 gg + 18 h (181) /2,4,"45,25",,990,870,,38,,,,
23502DN-9025,"Lycra 235/78f68 dc tpm 1200 st. 2,7 (CH)",Lycra 235 26AL,78f68 test. S  PA 66 grigio scuro,1200,13000,"2,32","5,8",2 x 3 gg + 18 h (181) /2,4,"45,25",,990,870,,38,,,,
23502DN-T0001,"Lycra 235/78f68 dc tpm 1200 st. 2,7 (CH)",Lycra 235 26AL,78f68 test. S  PA 66 bianco ottico,1200,13000,"2,32","5,8",2 x 3 gg + 18 h (181) /2,4,"45,25",,990,870,,38,,,,
23503DN-2000,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,167f36 test. PES bianco ottico,780,11250,"5,11","5,07",5 x 1 gg + 19 h (213),5,"42,6",,990,870,,40,,,,
23503DN-5000,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,167f36 test. PES nero,780,11250,"5,11","5,07",5 x 1 gg + 19 h (213),5,"42,6",,990,870,,40,,,,
23503DN-9025,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,167f36 test. PES grigio scuro,780,11250,"5,11","5,07",5 x 1 gg + 19 h (213),5,"42,6",,990,870,,40,,,,
23503DN-QS191,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,167f36 test. PES red orbit,780,11250,"5,11","5,07",5 x 1 gg + 19 h (213),5,"42,6",,990,870,,40,,,,
23503DN-QT094,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,167f36 test. PES blu void,780,11250,"5,11","5,07",5 x 1 gg + 19 h (213),5,"42,6",,990,870,,40,,,,
23503DN-QW306,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,167f36 test. PES laser orange,780,11250,"5,11","5,07",5 x 1 gg + 19 h (213),5,"42,6",,990,870,,40,,,,
23503DN-QW436,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,167f36 test. PES oak particle grey,780,11250,"5,11","5,07",5 x 1 gg + 19 h (213),5,"42,6",,990,870,,40,,,,
23503DN/QT791,"Ly235/167f36 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,167f36 test. PES platinum,780,11250,"5,11","5,07",5 x 1 gg + 19 h (213),5,"42,6",,990,870,,40,,,,
23504,"Cr 620/78f18x2 dc tpm 1000 st. 3,6 (DG)",Creora 620 H300,78f18x2 test  PA 6 cammello,1000,11500,"5,58","12,07",2 x 1 gg + 21 h (92),2,46,2,1100,540,,40,,,,
23504DN,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES Nero,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-5000,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES Nero 5000,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-Q0070,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES Light thistle,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-Q1724,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES football grey,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-Q2717,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES volt tint,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-Q3784,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES element pink,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-Q3785,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES magic flamingo,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-Q5143,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES hyper turq,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-Q7175,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES pink foam,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-Q7299,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES citron tint,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-Q7300,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 PES alabaster,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-QT094,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES blu void,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-QZ2716,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES giallo strike,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-QZ890,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES chlorine blue,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-S5002,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES giallo fluo,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23504DN-VARI COLORI,"Ly 235/167f48 dc tpm 780 st. 3,95 (DLF)",Lycra 235 26AL,167f48 test. PES VARI COLORI,730,11000,"5,58","5,56",4 x 1 gg + 20 h (178)/2,4,44,2,990,850,,40,,,,
23505DN-2075,"Ly235/78f24x2 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,78f24x2 PA 6 tinto filo lime,780,11000,"5,11","5,58",4 x 1 gg + 20 h (177) /2,4,"44,31",2,990,780,,38,,,,
23505DN1,"Ly235/78f24x2 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,78f24x2 PA 6 tinto filo GG,780,11000,"5,11","5,58",4 x 1 gg + 20 h (177) /2,4,"44,31",2,990,780,,38,,,,
23505DN2,"Ly235/78f24x2 dc tpm 780 st. 4,15 (EBF)",Lycra 235 26AL,78f24x2 PA 6 tinto filo nero,780,11000,"5,11","5,58",4 x 1 gg + 20 h (177) /2,4,"44,31",,990,780,,38,,,,
2777ZF2,"Ro22/22f7 Z tpm 1400 st. 3,85 (DIF)",Roica 22 C804,22f7 test. S nero PA 66,1390,18000,"0,61","0,42",7 x 8 gg (1345),7,"192,14",,400,380,,3,17,,,
28501DN,"Ly285/33f20 dc tpm 1000 st. 4,8 (EI)",Lycra 285 902C,33f20 test. S PA 66,1000,18400,"1,86","6,46",2 x 4 gg + 4 h(201),2,"100,5",,946,405,,38,,,,
28503ZN,"Ly285/78f68 Z tpm 726 st. 4,6 (EG)",Lycra 285 902C,78f68 test. S PA 66,726,13200,"3,98","6,6",2 x 3 gg (144),2,72,,946,640,,19,,,,
31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",CREORA 310 H350,22f7 test. S PA66,1200,19200,"1,6","7,9",1 x 5 gg + 20 h (140) /2,2,70,,,325,,30,,,,
31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",Lycra 310 162C,78f68 test. S  PA 66 grigio scuro,1200,13500,"2,36","5,61",2 x 3 gg + 22 h (188)/2,2,94,2,1046,620,,38,,,,
31003DN220274 dm84,"Ly310/78f68 dc tpm 1200 st. 3,8",Lycra 310 162C,78f68 test. S  PA 66 grigio scuro,1200,13500,"2,41","5,7",4 x 1 gg + 23 h (190),4,48,,1046,315,,38,,,,
31003DN9000,"Ly310/78f68 dc tpm 1200 st. 3,8",Lycra 310 162C,78f68 test. S  PA 66 negro,1200,13500,"2,36","5,61",2 x 3 gg + 22 h (188)/2,2,94,2,1046,620,,38,,,,
31004DN220379,"Cr310/78f68  dc tpm 1200 st. 2,7  (CH)",Creora 310 H300D,78f68 q-skin  PA 66 blu marino,1200,13500,"2,71","7,86",2 x 3 gg + 20 h (92)/2,2,92,2,1100,620,,18,,,,
31004DN220379 dm84,"Cr310/78f68 dc tpm 1200 st. 2,7 (CH)",Creora 310 H300D,78f68 q-skin  PA 66 blu marino,1200,13500,"2,71","7,86",4 x 1 gg + 22 h (92),4,46,,1100,315,,18,,,,
33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",Lycra 330 902C,22f10 test. S nero PA 66,1450,19600,"1,25","5,08",2  x 3 gg + 21 h (186),2,93,,947,215,,40,,05:00:00,"0,5",
33002DN,"Ly330/22f7 dc tpm 1200 st. 4,8 (EI)",Lycra 330 902C,22f7 test. S PA66,1200,19600,"1,53","6,96",1 x 5 gg + 15 h (136) /2,1,136,2,947,340,,40,,,,
39501DN,"Ly395/44f34 dc tpm 1000 st. 4,8 (EI)",Lycra 395 902C,44f34 test. S PA 66,1000,17400,"2,43","9,03",1 x 4 gg + 18 h (114),1,114,,,545,,33,,,,
39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",Lycra 395 902C,167f96 test. S PES bianco ottico,780,11250,"5,59","8,52",3 x 1 gg + 13 h (112) /2,3,37,2,,660,,38,,,,
39502DN-14786,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",Lycra 395 902C,167f96 test. S PES grigio,780,11250,"5,59","8,52",3 x 1 gg + 13 h (112),3,37,2,,660,,38,,,,
39502DN-14822,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",Lycra 395 902C,167f96 test. S PES arancio fluo,780,11250,"5,59","8,52",3 x 1 gg + 13 h (112),3,37,2,,660,,38,,,,
39502DN-14823,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",Lycra 395 902C,167f96 test. S PES rosa,780,11250,"5,59","8,52",3 x 1 gg + 13 h (112),3,37,2,,660,,38,,,,
39502DN-15015,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",Lycra 395 902C,167f96 test. S PES grigio,780,11250,"5,59","8,52",3 x 1 gg + 13 h (112),3,37,2,,660,,38,,,,
39502DN-15016,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",Lycra 395 902C,167f96 test. S PES bordeaux,780,11250,"5,59","8,52",3 x 1 gg + 13 h (112),3,37,2,,660,,38,,,,
39502DN-15017,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",Lycra 395 902C,167f96 test. S PES giallo,780,11250,"5,59","8,52",3 x 1 gg + 13 h (112),3,37,2,,660,,38,,,,
39502DN-15018,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)",Lycra 395 902C,167f96 test. S PES verde,780,11250,"5,59","8,52",3 x 1 gg + 13 h (112),3,37,2,,660,,38,,,,
